"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1086 Evidence > 101k1086(4) Weight and Sufficiency > 101k1086(7) Fraud or illegal acts in general >","In re Paul C. Larsen, P.A.","","","https://www.westlaw.com/Document/I63ec5a50719211ebae408ff11f155a05/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92052982852","United States District Court, M.D. Florida, Fort Myers Division.","February 17, 2021","626 B.R. 446","Bankruptcy Court's finding, that trustee of closely-held corporate debtor's Chapter 7 estate failed to show that individual who was debtor's president, shareholder, and director used debtor fraudulently or for an improper purpose, and so did not satisfy second element to pierce corporate veil under Florida law, was supported by individual's testimony that debtor was his ""business identity,"" that, although he used funds from debtor's accounts to pay for such things as his personal health insurance, rent and renter's insurance for his personal residence, and remodeling of his home office, those expenses were related to his various business dealings, and that individual considered ""dividends"" from debtor to be his salary, as well as by lack of evidence that investors in other entities controlled by individual were ""defrauded"" by his use of investor funds to make loans to debtor.","BANKRUPTCY  Business Relationships. Trustee did not establish that closely-held corporate debtor was used fraudulently or for improper purpose, as required to pierce corporate veil.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1086 Evidence > 101k1086(4) Weight and Sufficiency > 101k1086(7) Fraud or illegal acts in general >","Belliveau v. Barco, Incorporated","","","https://www.westlaw.com/Document/Iab28fe0061d911eb8cb3c4fde92c4669/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F102052861090","United States Court of Appeals, Fifth Circuit.","January 28, 2021","987 F.3d 122","Because direct evidence of actual fraud is scarce, courts may deduce fraudulent intent from all of the facts and circumstances in considering whether piercing the corporate veil is warranted under Texas law. Tex. Bus. Org. Code § 21.223(b).","COMMERCIAL LAW  Contracts. Licensor was not entitled to pierce the corporate veil to hold shareholder liable for corporation's alleged breach of contract.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1086 Evidence > 101k1086(4) Weight and Sufficiency > 101k1086(7) Fraud or illegal acts in general >","Moss v. Associated Underwriters, Inc.","","","https://www.westlaw.com/Document/I3659a4a0e17111eabaabff88df14112a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F142051673435","Court of Appeals of Nebraska.","August 18, 2020","28 Neb.App. 739","A plaintiff seeking to impose liability for a corporate debt on a shareholder has the burden to show by a preponderance of the evidence that the corporate identity must be disregarded to prevent fraud or injustice to the plaintiff.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Evidence warranted piercing corporate veil of insurance corporation to hold corporation's sole shareholder liable for unpaid judgment.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1086 Evidence > 101k1086(4) Weight and Sufficiency > 101k1086(7) Fraud or illegal acts in general >","AvenueOne Properties, Inc. v. KP5 Limited Partnership","","","https://www.westlaw.com/Document/Ibd09f650078d11e8b565bb5dd3180177/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F32043722190","Court of Appeals of Texas, Amarillo.","January 30, 2018","540 S.W.3d 643","Evidence was legally insufficient to support finding that commercial tenant's president caused tenant, a corporation, to be used for purpose of perpetrating and did perpetrate actual fraud on landlord primarily for president's direct personal benefit, as was statutorily required to pierce corporate veil and hold president jointly and severally liable for breach of lease; only evidence of representation made by president outside terms of lease itself was statement in letter from landlord to president giving notice of default and listing unpaid amount ""based on your personal representations[,]"" and such statement was not evidence of actual fraud perpetrated primarily for president's direct personal benefit. Tex. Bus. Org. Code § <a href=""/Link/Document/FullText?findType=L&pubNum=1077593&cite=TXBOS21.223&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7"">21.223</a>.","REAL PROPERTY  Landlord and Tenant. Evidence was insufficient to find that tenant's president perpetrated actual fraud for direct personal benefit, as required to pierce corporate veil.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1086 Evidence > 101k1086(4) Weight and Sufficiency > 101k1086(7) Fraud or illegal acts in general >","QVC, Inc. v. OurHouseWorks, LLC","","","https://www.westlaw.com/Document/I8f352cce158c11e6a795ac035416da91/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F22038806915","United States Court of Appeals, Third Circuit.","May 6, 2016","649 Fed.Appx. 223","Under Illinois law, although buyer of household cleaning kits could not simultaneously pursue contract-related damages from corporate parent of dissolved seller, pursuant to both veil-piercing and unjust enrichment theories, failure of buyer's stand-alone unjust enrichment claim against parent was not by itself fatal to buyer's equitable request to pierce corporate veil, requiring buyer to demonstrate that failure to pierce corporate veil would sanction fraud or promote injustice, which could be satisfied by proof of unjust enrichment, since piercing corporate veil on unjust enrichment theory only required buyer to establish that parent was unjustly enriched, but did not require buyer to satisfy additional prerequisites for stand-alone unjust enrichment claim.","BUSINESS ORGANIZATIONS - Piercing Corporate Veil. Failure of buyer's stand-alone unjust enrichment claim against parent corporation of dissolved seller was not fatal to buyer's veil-piercing request.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1086 Evidence > 101k1086(4) Weight and Sufficiency > 101k1086(7) Fraud or illegal acts in general >","Ramlall v. MobilePro Corp.","","","https://www.westlaw.com/Document/Ic2bfcb51017b11e1be8fdb5fa26a1033/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82026418103","Court of Special Appeals of Maryland.","October 28, 2011","202 Md.App. 20","When asking a court to pierce the corporate veil, the burden of proof is on the one charging fraud to establish by clear, specific acts, facts that in law constitute fraud.","BUSINESS ORGANIZATIONS - Mergers and Acquisition. Successor corporation was liable for debts of nonsurviving corporation following merger.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1086 Evidence > 101k1086(4) Weight and Sufficiency > 101k1086(7) Fraud or illegal acts in general >","Ruffin v. New Destination, LLC","","","https://www.westlaw.com/Document/I6cd272bd5a1111e0af6af9916f973d19/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92024884762","United States District Court, District of Columbia.","March 29, 2011","773 F.Supp.2d 34","Under District of Columbia law, a party seeking to disregard the corporate entity and hold shareholders personally liable for corporation's obligations must prove by affirmative evidence that there is unity of ownership and interest and use of the corporate form to perpetuate fraud or wrong.","LABOR AND EMPLOYMENT - Contracts. Under District of Columbia law, company that provided counseling services breached its contracts with social worker and counselor.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1086 Evidence > 101k1086(4) Weight and Sufficiency > 101k1086(7) Fraud or illegal acts in general >","Superior Transcribing Service, LLC v. Paul","","","https://www.westlaw.com/Document/Ife614b7e432e11dfaad3d35f6227d4a8/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52021705686","Supreme Court, Appellate Division, Second Department, New York.","April 6, 2010","72 A.D.3d 675","There was no evidence that owner of corporation used domination of corporation to commit fraud or wrong against plaintiff, as required to pierce corporate veil and impose personal liability on sole shareholder.","BUSINESS ORGANIZATIONS - Piercing Corporate Veil. Imposition of personal liability on corporation's sole shareholder was not warranted.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1086 Evidence > 101k1086(4) Weight and Sufficiency > 101k1086(7) Fraud or illegal acts in general >","Ireland v. Dodson","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ia53093513f2811dfae65b23e804c3c12&rank=9&listSource=Search&list=CUSTOMDIGEST&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Ia53093513f2811dfae65b23e804c3c12/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82021676553","United States District Court, D. Kansas.","March 26, 2010","704 F.Supp.2d 1128","Under Kansas law, substantive fraud claims were subject to higher standard of proof than alter ego claims, and thus jury's rejection of buyers' claim that seller corporation had engaged in fraud was not inconsistent with its decision to pierce corporate veil to hold seller's principal's father personally liable for breach of contract to sell aircraft and radio equipment.","BUSINESS ORGANIZATIONS - Piercing Corporate Veil. Brokerage agreement between aircraft sales corporation and its principal's father did not justify piercing corporate veil.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1086 Evidence > 101k1086(4) Weight and Sufficiency > 101k1086(7) Fraud or illegal acts in general >","In re The Heritage Organization, L.L.C.","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I5f88c130415f11deb08de1b7506ad85b&rank=10&listSource=Search&list=CUSTOMDIGEST&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I5f88c130415f11deb08de1b7506ad85b/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F702018839881","United States Bankruptcy Court, N.D. Texas, Dallas Division.","May 11, 2009","413 B.R. 438","In determining whether there is sufficient evidence of fraud or unfairness, of kind required under Delaware law in order to pierce corporate veil, court may consider relevant evidence that is also pertinent to question of whether the two entities in question functioned as one.","BANKRUPTCY - Avoidance. LLC's membership distributions were actually fraudulent to creditors under Texas law.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1086 Evidence > 101k1086(4) Weight and Sufficiency > 101k1086(7) Fraud or illegal acts in general >","Dick's Last Resort of West End, Inc. v. Market/Ross, Ltd.","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=If997b855d72311ddb77d9846f86fae5c&rank=11&listSource=Search&list=CUSTOMDIGEST&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/If997b855d72311ddb77d9846f86fae5c/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=11&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F22017792277","Court of Appeals of Texas, Dallas.","December 31, 2008","273 S.W.3d 905","Evidence was legally and factually sufficient to support jury's findings of alter ego, sham to perpetrate a fraud, and evasion of existing legal obligation in landlord's suit against former tenant, where former tenant and its affiliated corporations planned to use the corporations to ensure the landlord could not recover any assets in the event former tenant decided to vacate before the end of the lease term, concealed the plan from landlord while committing to a ten-year lease term, and evaded the contractual obligations to pay rent for the full term of the lease and to make payment under the guaranty. <a href=""/Link/Document/FullText?findType=L&pubNum=1000169&cite=TXBCAART2.21&originatingDoc=Iff5dce877dd511e287a9c52cdddac4f7&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=0b0ebe8623a343b4a2a0c77281ad73f7"">V.A.T.S. Bus.Corp.Act, art. 2.21</a>.","BUSINESS ORGANIZATIONS - Piercing Corporate Veil. Contractual disclaimer of extracontractual representations did not preclude landlord's proof of actual fraud for purposes of piercing corporate veil.",
