"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1059 Contracts in general >","TIG Insurance Company v. Republic of Argentina","","","https://www.westlaw.com/Document/I39f580b04e9c11efa97782a6d6657baa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F202081321841","United States Court of Appeals, District of Columbia Circuit.","July 30, 2024","110 F.4th 221","A contract may be enforced by or against nonparties to the contract through assumption, piercing the corporate veil, alter ego, incorporation by reference, third-party beneficiary theories, waiver, and estoppel.","INSURANCE  Alternative Dispute Resolution. Agreement was made by sovereign, within meaning of FSIA's arbitration exception, if it legally bound sovereign to arbitrate.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1059 Contracts in general >","Haymount Urgent Care PC v. GoFund Advance, LLC","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icb1dcb3033fb11efa8ae8c697c3b1781&rank=2&listSource=Search&list=CUSTOMDIGEST&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Icb1dcb3033fb11efa8ae8c697c3b1781/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F232080662752","United States District Court, S.D. New York.","June 26, 2024","--- F.Supp.3d ----","Under Connecticut law, individual who paid to set up funding companies and continued to fund them exercised requisite level of control over companies with respect to two merchant cash advance (MCA) agreements, under which companies purchased healthcare facility's future receivables in exchange for providing immediate cash to facility and facility's promise of repayments of specified amounts over set period of time, thus supporting piercing corporate veil under alter ego theory to impose joint and several liability for companies' breach of agreements by over-collecting from facility; although he was not on-paper owner or named director of companies, he made decisions on how and when MCA deals were made by companies that did not follow corporate formalities and effectively existed on paper only.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Joint and several liability was justified under alter ego theory for breach of merchant cash advance agreements.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1059 Contracts in general >","Haymount Urgent Care PC v. GoFund Advance, LLC","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icb1dcb3033fb11efa8ae8c697c3b1781&rank=3&listSource=Search&list=CUSTOMDIGEST&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Icb1dcb3033fb11efa8ae8c697c3b1781/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F242080662752","United States District Court, S.D. New York.","June 26, 2024","--- F.Supp.3d ----","Under Connecticut law, manager of two entities that funded and provided management services for two merchant cash advance (MCA) agreements, under which funding companies purchased healthcare facility's future receivables in exchange for providing immediate cash to facility and facility's promise of repayments of specified amounts over set period of time, did not exercise requisite level of control over companies to pierce corporate veil under alter ego theory in order to impose joint and several liability for companies' breach of agreements by over-collecting from facility; although he signed settlement agreements on behalf of companies, at most he was companies' authorized representative, and his receipt of profits as syndicate member on some MCA deals did not equate to controlling companies.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Joint and several liability was justified under alter ego theory for breach of merchant cash advance agreements.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1059 Contracts in general >","Haymount Urgent Care PC v. GoFund Advance, LLC","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icb1dcb3033fb11efa8ae8c697c3b1781&rank=4&listSource=Search&list=CUSTOMDIGEST&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Icb1dcb3033fb11efa8ae8c697c3b1781/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F252080662752","United States District Court, S.D. New York.","June 26, 2024","--- F.Supp.3d ----","Under Connecticut law, individual who exercised requisite level of control over funding companies used his control to perpetrate fraud or wrongdoing against healthcare facility with respect to two merchant cash advance (MCA) agreements, under which companies purchased facility's future receivables in exchange for providing immediate cash to facility and facility's promise of repayments, thus supporting piercing corporate veil under alter ego theory to impose joint and several liability for companies' breach of agreements by over-collecting from facility; companies were formed for fraudulent purpose, companies and transactions had no connection to Connecticut, and he intentionally structured companies to obfuscate his control implicitly to avoid liability for any wrongful act under their name.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Joint and several liability was justified under alter ego theory for breach of merchant cash advance agreements.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1059 Contracts in general >","Haymount Urgent Care PC v. GoFund Advance, LLC","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icb1dcb3033fb11efa8ae8c697c3b1781&rank=5&listSource=Search&list=CUSTOMDIGEST&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Icb1dcb3033fb11efa8ae8c697c3b1781/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F262080662752","United States District Court, S.D. New York.","June 26, 2024","--- F.Supp.3d ----","In Connecticut, under the instrumentality rule for determining whether piercing the corporate veil is appropriate, ordinarily, breach of contract standing alone is insufficient to prove the element of using control over the corporate entity to commit fraud or wrong, to perpetrate the violation of a statutory or other positive legal duty, or a dishonest or unjust act in contravention of the plaintiff's legal rights; however, a breach of contract coupled with a showing that a the corporation was formed for an improper purpose, such as forming a corporation to shelter oneself from personal obligations incurred prior to the formation of the corporation or to commit or to avoid liability for any personal wrongful act, is sufficient.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Joint and several liability was justified under alter ego theory for breach of merchant cash advance agreements.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1059 Contracts in general >","Haymount Urgent Care PC v. GoFund Advance, LLC","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icb1dcb3033fb11efa8ae8c697c3b1781&rank=6&listSource=Search&list=CUSTOMDIGEST&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Icb1dcb3033fb11efa8ae8c697c3b1781/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F272080662752","United States District Court, S.D. New York.","June 26, 2024","--- F.Supp.3d ----","Under Connecticut law, individual who exercised requisite level of control over funding companies and used his control to perpetrate fraud or wrongdoing against healthcare facility with respect to two merchant cash advance (MCA) agreements, under which companies purchased facility's future receivables in exchange for providing immediate cash to facility and facility's promise of repayments, proximately caused facility's monetary injury from companies' breach of agreements by over-collecting from facility, thus justifying piercing corporate veil under alter ego theory to impose joint and several liability for companies' breach, with result that he was liable for $50,071.77 that facility was over-charged on one agreement and for $170,000 that facility was over-charged on another agreement.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Joint and several liability was justified under alter ego theory for breach of merchant cash advance agreements.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1059 Contracts in general >","Chubb Capital I Limited v. New Orleans City","","","https://www.westlaw.com/Document/Ieb0492000c3511ef8576e37e2d3d28a6/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F242079842814","United States District Court, E.D. Louisiana.","May 6, 2024","--- F.Supp.3d ----","Under the alter ego doctrine, a corporation may be bound by an agreement entered into by its subsidiary regardless of the agreement's structure or the subsidiary's attempts to bind itself alone to its terms, when their conduct demonstrates a virtual abandonment of separateness.","INSURANCE  Arbitration and Appraisal. Insurers, who were non-signatories to arbitration agreement, did not agree to arbitrate city's claims against insureds.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1059 Contracts in general >","Pentacon BV v. Vanderhaegen","","","https://www.westlaw.com/Document/I1aae48b0eb4e11ee932ad7c90638f4a0/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F342079363328","United States District Court, S.D. New York.","March 25, 2024","--- F.Supp.3d ----","New York law permits non-signatories to be held liable for breach of contract under limited circumstances, namely, where the non-signatory (1) is the alter ego of the signatory, (2) manifests an intent to be bound by the contract, or (3) acts so as to show they are in privity of contract or assumed obligations under the contract.","BUSINESS ORGANIZATIONS  Limited Liability Companies. Alleged sale of start-up after no sale period, which was planned during such period, did not violate no sale clause of share redemption agreement.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1059 Contracts in general >","Boulder Falcon, LLC v. Brown","","","https://www.westlaw.com/Document/I2dfa13e0244211efafa691467b191a99/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F552080458999","United States District Court, D. Utah.","March 11, 2024","--- F.Supp.3d ----","Under Georgia law, while it is generally true that only parties to contract are liable for its breach, traditional principles of law allow contract to be enforced by or against nonparties through, among other things, theory of alter ego.","COMMERCIAL LAW  Contracts. Genuine disputes of material fact precluded summary judgment in favor of defendants on LLC's claim for breach of contract under Georgia law.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1059 Contracts in general >","Boulder Falcon, LLC v. Brown","","","https://www.westlaw.com/Document/I2dfa13e0244211efafa691467b191a99/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c056814b41fb4d0ab1dae72cf1415396&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F562080458999","United States District Court, D. Utah.","March 11, 2024","--- F.Supp.3d ----","Under Utah law, alter ego is not a claim for substantive relief, but rather a remedial theory in equity under which the corporate entity is disregarded and individuals or entities are held liable on the obligations of the corporation, including those obligations arising from breach of contract.","COMMERCIAL LAW  Contracts. Genuine disputes of material fact precluded summary judgment in favor of defendants on LLC's claim for breach of contract under Georgia law.",
