"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1060 Debts and obligations of corporation in general >","W.P. Productions, Inc. v. Tramontina U.S.A., Inc.","","","https://www.westlaw.com/Document/I817499100bf511ef8576e37e2d3d28a6/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=8deeeb68d7664fcbbc961ff32822e13a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92079838334","United States Court of Appeals, Eleventh Circuit.","May 6, 2024","101 F.4th 787","Under Florida law, when a shareholder knows a company has dissolved and continues to move corporate money around, the shareholder, by default, is using the corporate form for the improper purpose of violating Florida's statutory Rule of Priorities, which prohibits corporations from making distributions to shareholders if doing so would make the corporation unable to pay its debts as they become due, so as to provide support for piercing the corporate veil. Fla. Stat. Ann. § 607.06401(3)(a).","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Corporation's sole shareholder used corporate form for improper purpose of evading Florida's Rule of Priorities, supporting piercing of corporate veil.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1060 Debts and obligations of corporation in general >","W.P. Productions, Inc. v. Tramontina U.S.A., Inc.","","","https://www.westlaw.com/Document/I817499100bf511ef8576e37e2d3d28a6/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=8deeeb68d7664fcbbc961ff32822e13a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F72079838334","United States Court of Appeals, Eleventh Circuit.","May 6, 2024","101 F.4th 787","Under Florida law, sole shareholder of S corporation, which was a judgment debtor, used the corporate form for improper purpose of evading Florida's statutory Rule of Priorities, which prohibited corporation from making distributions to shareholders if doing so would make the corporation unable to pay its debts as they became due, and thus judgment creditor could pierce corporate veil and hold shareholder personally liable; after corporation's dissolution, shareholder moved money from his shared personal and corporate account, which undermined ability of corporation's creditors to recover, and although shareholder claimed that the money he spent came from his personal funds, his payment of taxes did not indicate his amount of personal funds. Fla. Stat. Ann. §§ 607.06401(3)(a), 607.1420(5).","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Corporation's sole shareholder used corporate form for improper purpose of evading Florida's Rule of Priorities, supporting piercing of corporate veil.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1060 Debts and obligations of corporation in general >","O'Mahony v. Whiston","","","https://www.westlaw.com/Document/I576242b0d58811ee88f8ff09529fdbc9/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=8deeeb68d7664fcbbc961ff32822e13a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F62078804680","Supreme Court, Appellate Division, First Department, New York.","February 27, 2024","224 A.D.3d 609","Majority owners of corporation that owned old bar were personally liable for repaying an $86,000 loan minority owner made to corporation, under a veil piercing theory, in derivative action brought by minority owners of corporation against majority owners, alleging that majority owners used old corporation's assets to open new bar under new corporation, where majority owners had completely dominated corporation, abused its corporate formalities, and stripped it of all value, transferring money to themselves so that old corporation was an empty shell and unable to repay the loan.","BUSINESS ORGANIZATIONS  Derivative Actions. Majority owners of corporation were liable for breach of fiduciary duty in form of misappropriation of corporate opportunity, in derivative action.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1060 Debts and obligations of corporation in general >","Coast-to-Coast Produce, LLC v. Lakeside Produce USA, Inc.","","","https://www.westlaw.com/Document/I2fda27f0a6e211ee996f8f95168d10d3/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=8deeeb68d7664fcbbc961ff32822e13a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F672077924730","United States District Court, E.D. Michigan, Southern Division.","December 29, 2023","709 F.Supp.3d 413","Under Michigan law, allegations by commercial wholesale produce distributors that Canadian produce company owned United States Produce Company, that the two entities were led by the same principals, that the entities shared a single PACA license number, that United States company used the same Canadian mailing address as Canadian company, and that companies comingled funds and featured integrated operations, sufficiently alleged that companies may have been mere instrumentalities of each other, as required to support an inference that companies were alter egos of each other, in action against produce companies to enforce distributors' rights under PACA, alleging that companies failed to pay for accepted produce. Perishable Agricultural Commodities Act, 1930 § 1, 7 U.S.C.A. § <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=7USCAS499A&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=8deeeb68d7664fcbbc961ff32822e13a"">499a et seq.</a>","COMMERCIAL LAW  Abstention. Abstention for foreign bankruptcy cases did not apply to produce distributors' action to enforce rights under Perishable Agricultural Commodities Act.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1060 Debts and obligations of corporation in general >","Coast-to-Coast Produce, LLC v. Lakeside Produce USA, Inc.","","","https://www.westlaw.com/Document/I2fda27f0a6e211ee996f8f95168d10d3/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=8deeeb68d7664fcbbc961ff32822e13a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F682077924730","United States District Court, E.D. Michigan, Southern Division.","December 29, 2023","709 F.Supp.3d 413","Under Michigan law, allegation by commercial wholesale produce distributors that produce companies based in Canada and the United States misled the distributors regarding their operations and shirked their PACA trust obligations sufficiently alleged that companies engaged in fraudulent conduct, as required to support an inference that companies were alter egos of each other, in action against produce companies to enforce distributors' rights under PACA, alleging that companies failed to pay for accepted produce. Perishable Agricultural Commodities Act, 1930 § 1, 7 U.S.C.A. § <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=7USCAS499A&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=8deeeb68d7664fcbbc961ff32822e13a"">499a et seq.</a>","COMMERCIAL LAW  Abstention. Abstention for foreign bankruptcy cases did not apply to produce distributors' action to enforce rights under Perishable Agricultural Commodities Act.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1060 Debts and obligations of corporation in general >","Coast-to-Coast Produce, LLC v. Lakeside Produce USA, Inc.","","","https://www.westlaw.com/Document/I2fda27f0a6e211ee996f8f95168d10d3/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=8deeeb68d7664fcbbc961ff32822e13a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F692077924730","United States District Court, E.D. Michigan, Southern Division.","December 29, 2023","709 F.Supp.3d 413","Under Michigan law, allegations by commercial wholesale produce distributors that produce companies based in Canada and the United States caused distributors $1.3 million in damages were sufficient to allege unjust loss, as required to support an inference that companies were alter egos of each other, in action against produce companies to enforce distributors' rights under PACA, alleging that companies failed to pay for accepted produce. Perishable Agricultural Commodities Act, 1930 § 1, 7 U.S.C.A. § <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=7USCAS499A&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=8deeeb68d7664fcbbc961ff32822e13a"">499a et seq.</a>","COMMERCIAL LAW  Abstention. Abstention for foreign bankruptcy cases did not apply to produce distributors' action to enforce rights under Perishable Agricultural Commodities Act.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1060 Debts and obligations of corporation in general >","Lifetouch National School Studios Inc. v. Oklahoma School Pictures, LLC","","","https://www.westlaw.com/Document/I209099303d7511ef82c9f989cc5f43c7/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=8deeeb68d7664fcbbc961ff32822e13a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52080781682","Court of Civil Appeals of Oklahoma, Division No. 4.","November 13, 2023","554 P.3d 764","The alter ego remedy can be employed in a separate action to collect, from one company, a judgment obtained in previous litigation against another company.","BUSINESS ORGANIZATIONS  Limited Liability Companies. Triable issues of fact existed as to whether LLC created judgment debtor as an instrumentality to wrongfully obtain clients and business.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1060 Debts and obligations of corporation in general >","Groth v. Ferrante","","","https://www.westlaw.com/Document/I821b5c307e6211eebbc8c69e189bbdc8/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=8deeeb68d7664fcbbc961ff32822e13a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52077375986","Supreme Court, Appellate Division, Second Department, New York.","November 8, 2023","221 A.D.3d 664","Piercing corporate veil of judgment debtor to reach its shareholders was not warranted, in judgment creditors' action seeking to enforce default judgment; some corporate formalities were observed, including filing of tax returns and holding of annual shareholder meeting, judgment debtor had functioning board of directors, on which one of the judgment creditors served pursuant to corporate resolution, and alleged commingling of personal and corporate assets was based upon one shareholder's infusion of personal funds into judgment debtor to increase its value, rather than upon any improper expenditure of corporate funds for shareholder's personal benefit.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Piercing corporate veil of judgment debtor to reach shareholders was not warranted in judgment creditors' action seeking to enforce default judgment.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1060 Debts and obligations of corporation in general >","GeoSolutions B.V. v. Sina.com Online","","","https://www.westlaw.com/Document/Ia9e61aa075a411ee922bed6f7704f51c/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=8deeeb68d7664fcbbc961ff32822e13a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F212077256757","United States District Court, N.D. California.","October 27, 2023","700 F.Supp.3d 821","Dutch tech business and its holding company failed to state a claim against California businesses in action against thirteen businesses, including two located in California, within Chinese conglomerate that operated social media application, arising from joint venture between those entities and plaintiffs, which plaintiffs alleged resulted in misappropriation of their technology; plaintiffs attempted to establish that California businesses were alter egos of some or all of the foreign defendants, but had not established alter ego status, meaning that none of the other conglomerate entities' conduct could be imputed to California businesses, and plaintiffs did not allege that either of the California businesses participated directly in any of the purported misconduct at issue.","COMMERCIAL LAW  Jurisdiction. Dutch tech business and subsidiary did not establish unity between California businesses and any foreign defendant for general jurisdiction purposes.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1060 Debts and obligations of corporation in general >","In re Howard","","","https://www.westlaw.com/Document/I0121df0042a811eebda9ecbbe7cca3c3/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=8deeeb68d7664fcbbc961ff32822e13a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F162076283033","United States Bankruptcy Court, S.D. Florida, Miami Division.","August 23, 2023","653 B.R. 693","Under Florida law, piercing corporate veil was appropriate to hold Chapter 7 debtor, who was sole owner and operator of entities that creditor had purchased luxury and customized automobiles from, personally liable for any of entities' obligations in connection with claim that debtor did not transfer title of automobiles and treated the sold automobiles as corporate assets; debtor disregarded corporate formalities with respect to his personal obligations as well as disregarded the separateness of his various corporate entities, as he used corporate funds to pay for personal expenses and used the corporate funds of all entities interchangeably.","BANKRUPTCY  Discharge. Debt arising from debtor's scheme whereby he failed to transfer title of luxury automobile to creditor fell within fraud discharge exception.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1060 Debts and obligations of corporation in general >","Stephens v. Mike's Transport, Inc.","","","https://www.westlaw.com/Document/I69140f8037fd11eeb556c7e050d330a3/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=11&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=8deeeb68d7664fcbbc961ff32822e13a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52075899223","Court of Civil Appeals of Oklahoma, Division No. 2.","July 12, 2023","535 P.3d 772","Trucking business was the alter ego or mere instrumentality of judgment debtors, supporting imposition of alter ego liability on business for judgment against debtors, which were a trucking business and its principal; debtor business ceased operating approximately one month after judgment, trucking business was formed one day after debtor business ceased operating, trucking business then ""hired"" debtor business's principal, both businesses shared same address, and only trucks used by trucking business were those formerly owned or leased by debtor business.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Trucking business was alter ego of judgment debtors and thus liable for judgment.",
