"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >","City of Chicago v. Equte LLC","","","https://www.westlaw.com/Document/I6db3dd3059b911eeb336d6875dfb31d7/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F162076639180","United States District Court, N.D. Illinois, Eastern Division.","September 19, 2023","693 F.Supp.3d 879","Under Minnesota law, corporate defendants' principal could not be held personally liable, through piercing of corporate veil, for any fines assessed against them in connection with their online sales of electronic cigarettes and other tobacco-related products in alleged violation of Illinois city's municipal code; neither injustice nor fundamental unfairness would occur if corporate veil were left intact, as there were no allegations that corporate defendants ever owed anything to city, that principal acted willfully to deprive city of something of value, or that principal intended or personally directed the code violations, case instead involved city's attempt to assess fines against principal for corporations' violations of ordinance, and it was not unjust or fundamentally unfair to not pierce the corporate veil simply because city was unlikely to recover any fines that might be assessed against corporations without attacking principal's assets.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Corporations' principal could not be held personally liable for online e-cigarette sales that allegedly violated municipal code.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >","Federal Trade Commission v. AMG Services, Inc.","","","https://www.westlaw.com/Document/Idadc0f600f0911ec925cb2bf681461fd/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F312054440948","United States District Court, D. Nevada.","September 3, 2021","558 F.Supp.3d 946","Under the theory of common enterprise, each entity in a group of interrelated companies can be held jointly and severally liable under the FTCA for the actions of other entities in that group. Federal Trade Commission Act, § 5, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=15USCAS45&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=07b987e87d75405a93d8943da2c63b21"">15 U.S.C.A. § 45</a>.","COMMERCIAL LAW  Industry Regulation. Financial audit report from special investigation that had not been made in normal regular course of business was not admissible as business record.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >","Federal Trade Commission v. AMG Services, Inc.","","","https://www.westlaw.com/Document/Idadc0f600f0911ec925cb2bf681461fd/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F322054440948","United States District Court, D. Nevada.","September 3, 2021","558 F.Supp.3d 946","Entities constitute a common enterprise, and therefore they can be held jointly and severally liable under the FTCA, when they exhibit either vertical or horizontal commonality, qualities that may be demonstrated by a showing of strongly interdependent economic interests or the pooling of assets and revenues. Federal Trade Commission Act, § 5, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=15USCAS45&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=07b987e87d75405a93d8943da2c63b21"">15 U.S.C.A. § 45</a>.","COMMERCIAL LAW  Industry Regulation. Financial audit report from special investigation that had not been made in normal regular course of business was not admissible as business record.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >","Hunter v. Shield","","","https://www.westlaw.com/Document/Id4d0f160e9a911ebbbb7e10e40fa0d9f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F432054132100","United States District Court, S.D. Ohio, Eastern Division.","July 20, 2021","550 F.Supp.3d 500","There was no evidence that seller's contractor and subcontractors were shareholders or owners of seller or manufacturer of ceramic home coating product, and thus piercing of seller's and manufacturer's corporate veils was not warranted pursuant to alter ego doctrine under Ohio law in buyers' action for violations of consumer protection statutes.","COMMERCIAL LAW  Sales. Contract for sale and installation of a ceramic home coating product was predominately a contract for sale of goods under the UCC.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >","E.S. v. Best Western International, Inc.","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I917d7d004fb411eba075d817282e94c2&rank=5&listSource=Search&list=CUSTOMDIGEST&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I917d7d004fb411eba075d817282e94c2/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F152052715058","United States District Court, N.D. Texas, Dallas Division.","January 4, 2021","510 F.Supp.3d 420","Under Texas law, sex trafficking victim failed to allege that franchisors of chain hotels held out their hotels as their direct alter egos, as would support Trafficking Victims Protection Reauthorization Act (TVPRA) indirect liability claim against franchisors; victim did not allege that franchisors or their respective brand hotels owned stock in each other or failed to follow separate corporate formalities.","LABOR AND EMPLOYMENT  Human Trafficking. Sex trafficking victim failed to allege chain hotels participated in her sex trafficking, as required to state claim for indirect liability against hotel franchisors under TVPRA.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >","City of Long Beach v. Total Gas & Power North America, Inc.","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ie4ba2110aad911eabb269ba69a79554c&rank=6&listSource=Search&list=CUSTOMDIGEST&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Ie4ba2110aad911eabb269ba69a79554c/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F312051223453","United States District Court, S.D. New York.","June 8, 2020","465 F.Supp.3d 416","Under federal common law, city that traded natural gas derivatives did not sufficiently allege that either foreign oil and gas parent company or its foreign subsidiary dominated and disregarded corporate form of domestic subsidiary, and thus failed to state a claim for alter ego liability for domestic subsidiary's Sherman Act violations based on monopolization and manipulation of various indices that were used to price natural gas traded at regional hubs. Sherman Act, § 2, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=15USCAS2&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=07b987e87d75405a93d8943da2c63b21"">15 U.S.C.A. § 2</a>.","ANTITRUST  Monopolies. City that traded natural gas derivatives lacked antitrust standing to pursue Sherman Act claims against traders based on manipulation of monthly index prices.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >","Miami Products & Chemical Co. v. Olin Corporation","","","https://www.westlaw.com/Document/Ic2e43d40706f11eaafc9a4147037e074/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F302050652983","United States District Court, W.D. New York.","March 27, 2020","449 F.Supp.3d 136","Buyers of caustic soda failed to sufficiently allege that piercing of corporate veil was warranted under New York law with respect to claim against parent corporation of seller of soda, arising out of alleged conspiracy involving seller and alleged co-conspirators that controlled 90% of domestic soda market to increase prices, as required to state Sherman Act's restraint of trade provision claim against corporation; while buyers alleged that seller was a wholly-owned subsidiary of corporation, ownership of seller was insufficient to pierce corporate veil, and announcement by corporation at investor presentation that soda prices had risen due to market conditions did not demonstrate necessary domination of seller by corporation. Sherman Act, § 1, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=15USCAS1&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=07b987e87d75405a93d8943da2c63b21"">15 U.S.C.A. § 1</a>.","ANTITRUST  Conspiracy. Buyers of caustic soda sufficiently alleged sellers engaged in parallel conduct, stating claim under Sherman Act's restraint of trade provision.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >","Svanaco, Inc. v. Brand","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I20231540e41f11e987aed0112aae066d&rank=8&listSource=Search&list=CUSTOMDIGEST&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I20231540e41f11e987aed0112aae066d/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82049291744","United States District Court, N.D. Illinois, Eastern Division.","September 30, 2019","417 F.Supp.3d 1042","A plaintiff may pursue an Anticybersquatting Consumer Protection Act (ACPA) claim under a veil-piercing theory. Lanham Trade-Mark Act § 43, 15 U.S.C.A. § 1125(d)(1)(D).","E-COMMERCE  Unfair Practices. Company that hired consultant was not liable for consultant's violation of ACPA under veil-piercing theory.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >","Svanaco, Inc. v. Brand","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I20231540e41f11e987aed0112aae066d&rank=9&listSource=Search&list=CUSTOMDIGEST&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I20231540e41f11e987aed0112aae066d/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92049291744","United States District Court, N.D. Illinois, Eastern Division.","September 30, 2019","417 F.Supp.3d 1042","To succeed on an Anticybersquatting Consumer Protection Act (ACPA) claim under a veil-piercing theory, plaintiff must satisfy a two-pronged test: (1) there must be such unity of interest and ownership that the separate personalities of two defendants no longer exist, and (2) circumstances must be such that adherence to the fiction of separate existence would sanction a fraud or promote injustice. Lanham Trade-Mark Act § 43, 15 U.S.C.A. § 1125(d)(1)(D).","E-COMMERCE  Unfair Practices. Company that hired consultant was not liable for consultant's violation of ACPA under veil-piercing theory.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >","Svanaco, Inc. v. Brand","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I20231540e41f11e987aed0112aae066d&rank=10&listSource=Search&list=CUSTOMDIGEST&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I20231540e41f11e987aed0112aae066d/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=07b987e87d75405a93d8943da2c63b21&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F102049291744","United States District Court, N.D. Illinois, Eastern Division.","September 30, 2019","417 F.Supp.3d 1042","Disgruntled customer and its consultant did not act as a single entity in registering domain names that were confusingly similar to that of website designer's protected mark, ""Americaneagle.com,"" as required to support website designer's claim against its former customer for violation of Anticybersquatting Consumer Protection Act (ACPA) under a veil-piercing theory; instead, consultant acted independently or took unsolicited action, in that although he sent links of his online postings to customer, he did not think customer actually understood what was going on. Lanham Trade-Mark Act § 43, 15 U.S.C.A. § 1125(d)(1)(D).","E-COMMERCE  Unfair Practices. Company that hired consultant was not liable for consultant's violation of ACPA under veil-piercing theory.",
