"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","Liberty Aviation Museum, Inc. v. JRM Marine Consulting, LLC","","","https://www.westlaw.com/Document/Ie08cd43043c811ee8da8fd896f6ea43a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82076328664","Court of Appeals of Ohio, Sixth District, Ottawa County.","August 25, 2023","223 N.E.3d 881","Piercing contractor's corporate veil to reach assets of father of contractor's sole owner was not warranted with regard to museum's fraud and civil conspiracy claims as to contractor's failure to repair a historical boat, for purposes of determining whether museum's pursuit of such claims was frivolous, even though father had sole authority and exclusive control over contractor for two months after owner suffered a stroke; there was no evidence that father exercised control in such a manner as to commit fraud or illegal act against museum, such as by depleting assets, or evidence that father acted fraudulently or illegally in deciding to close business and allowing another individual to take it over without compensation.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Piercing contractor's corporate veil to reach the assets of owner's father who took control after owner suffered a stroke was not warranted.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","Liberty Aviation Museum, Inc. v. JRM Marine Consulting, LLC","","","https://www.westlaw.com/Document/Ie08cd43043c811ee8da8fd896f6ea43a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F32076328664","Court of Appeals of Ohio, Sixth District, Ottawa County.","August 25, 2023","223 N.E.3d 881","Piercing contractor's corporate veil to reach assets of sister corporations was not warranted with regard to museum's fraud and civil conspiracy claims, for purposes of determining whether pursuit of such claims was frivolous in its action regarding contractor's failure to repair a historical boat, where contractor and sister corporations had common individual shareholders but neither entity had ownership interest in the other.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Piercing contractor's corporate veil to reach the assets of owner's father who took control after owner suffered a stroke was not warranted.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","Liberty Aviation Museum, Inc. v. JRM Marine Consulting, LLC","","","https://www.westlaw.com/Document/Ie08cd43043c811ee8da8fd896f6ea43a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F72076328664","Court of Appeals of Ohio, Sixth District, Ottawa County.","August 25, 2023","223 N.E.3d 881","Piercing contractor's corporate veil to reach assets of a lender and former co-owner was not warranted with regard to museum's fraud and civil conspiracy claims, for purposes of determining whether museum's pursuit of such claims was frivolous in its action regarding contractor's failure to repair a historical boat, where lender and former co-owner had no involvement in running contractor's business.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Piercing contractor's corporate veil to reach the assets of owner's father who took control after owner suffered a stroke was not warranted.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","Pierre Investments, Inc. v. CLS Capital Group, Inc.","","","https://www.westlaw.com/Document/Idd705fa0729b11ed88b299278567b4dc/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F102070660154","Court of Appeals of Ohio, Sixth District, Lucas County.","December 2, 2022","202 N.E.3d 870","Loan broker did not owe duty to disclose any material information to prospective corporate borrower regarding loan agreement, and thus, piercing corporate veil to hold corporate owner liable for fraudulent inducement based on alleged false statements was not warranted in borrower's action arising out of damages it allegedly sustained due to failure to close on loan; loan agreement was arm's-length transaction and there were no special circumstances upon which to transform ordinary debtor-creditor business transaction into fiduciary relationship.","LITIGATION  Parties. Broker that dissolved before it entered loan agreement that was subject of borrower's breach-of-contract action was not entity capable of being sued.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","Flooring Depot FTL, Inc., v. Wurtzebach","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ia7051d7047d111ec946db9923828695f&rank=5&listSource=Search&list=CUSTOMDIGEST&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Ia7051d7047d111ec946db9923828695f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52054916232","District Court of Appeal of Florida, Fourth District.","November 17, 2021","330 So.3d 47","Customers' allegations against president of retail corporation were insufficient to show that president engaged in any improper conduct, and thus trial court could not pierce corporate veil and impose personal liability on president for corporation's breach of contract and fraud; customers merely alleged that president commingled his business and personal assets and used business monies to make personal purchases, president did not use corporation for improper purpose, and trial court specifically found that president's actions were not fraudulent.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Customers' allegations against president of retail corporation were insufficient to show that president engaged in any improper conduct.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","MGF Healthcare Partners, Inc. v. Blue Ridge Healthcare Birmingham, LLC","","","https://www.westlaw.com/Document/I686091f0c84511eb99108bada5c941b8/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82053770831","United States District Court, N.D. Alabama, Southern Division.","June 7, 2021","542 F.Supp.3d 1237","There was no evidence that healthcare management company financed healthcare provider, that provider only did business with company, that company used provider's property as its own, or that provider failed to observe legal requirements of a corporation, and thus healthcare contractor which entered contract with provider could not prevail on claims against company for breach of contract, subterfuge/instrumentality, and fraud pursuant to alter ego theory of corporate veil piercing under Alabama law.","COMMERCIAL LAW  Contracts. Healthcare contractor could not prevail against company for breach of contract and other claims under the alter ego theory of corporate veil piercing.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","MGF Healthcare Partners, Inc. v. Blue Ridge Healthcare Birmingham, LLC","","","https://www.westlaw.com/Document/I686091f0c84511eb99108bada5c941b8/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52053770831","United States District Court, N.D. Alabama, Southern Division.","June 7, 2021","542 F.Supp.3d 1237","Fact that healthcare provider and healthcare management company were owned by the same five persons did not support healthcare contractor's claims against company for breach of contract, subterfuge/instrumentality, and fraud under alter ego theory of corporate veil piercing under Alabama law, absent showing that company itself was a shareholder, officer, or director of provider.","COMMERCIAL LAW  Contracts. Healthcare contractor could not prevail against company for breach of contract and other claims under the alter ego theory of corporate veil piercing.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","MGF Healthcare Partners, Inc. v. Blue Ridge Healthcare Birmingham, LLC","","","https://www.westlaw.com/Document/I686091f0c84511eb99108bada5c941b8/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F102053770831","United States District Court, N.D. Alabama, Southern Division.","June 7, 2021","542 F.Supp.3d 1237","There was no evidence that healthcare management company financed healthcare provider, that provider only did business with company, that company used provider's property as its own, or that provider failed to observe legal requirements of a corporation, and thus healthcare contractor could not prevail on claims against company for breach of contract, subterfuge/instrumentality, and fraud pursuant to ""totality-of-the-circumstances"" theory in action alleging that company and healthcare provider operated as a single corporate entity.","COMMERCIAL LAW  Contracts. Healthcare contractor could not prevail against company for breach of contract and other claims under the alter ego theory of corporate veil piercing.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","United States v. Dynamic Visions Inc","","","https://www.westlaw.com/Document/I59223d50e3ea11ea9b80ec4c207131a3/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92051701471","United States Court of Appeals, District of Columbia Circuit.","August 21, 2020","971 F.3d 330","It would be unjust to allow home healthcare provider's sole owner, who was also its chief executive officer (CEO), to retain funds wrongfully taken from, and now owed to, the government, and thus piercing the corporate veil was warranted to hold owner liable under False Claims Act (FCA) for false reimbursement claims submitted to District of Columbia Medicaid program, even if he had history of running provider in manner satisfactory to regulatory overseers, since he failed to maintain corporate formalities when he transferred large sums of money from provider's accounts, which contained reimbursements from the program, to his own personal accounts. <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=31USCAS3729&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288"">31 U.S.C.A. § 3729 et seq.</a>; Social Security Act § 1801, 42 U.S.C.A. § <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=42USCAS1395&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288"">1395 et seq.</a>","HEALTH  Medical Assistance. Home health care provider knowingly submitted false Medicaid reimbursement claims and also did so with reckless disregard for their falsity.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","United States v. Kindred Healthcare, Inc.","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I9863f690bb2a11eabb91c2e2bc8b49a5&rank=10&listSource=Search&list=CUSTOMDIGEST&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I9863f690bb2a11eabb91c2e2bc8b49a5/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=f9bf297421bf4ef4bd5c7ab3dd1e6288&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F412051361028","United States District Court, E.D. Pennsylvania.","June 29, 2020","469 F.Supp.3d 431","Relator's allegations of undercapitalization and siphoning of funds were sufficient to allege alter ego liability between nursing home operators and their nursing facilities, in relator's qui tam action under the False Claims Act (FCA) against nursing home operators; relator alleged that operators exerted pervasive and continual control over nursing homes such that homes were mere agents, instrumentalities and conduits through which operators did business, and that operators treated funds of one entity as the funds of another, collected, distributed and shared revenues, profits, and assets of its homes, and continually siphoned all revenues from each of individual homes, rendering homes entirely dependent on operators for continued existence and operations.","GOVERNMENT  False Claims. Relator sufficiently alleged that nursing home operators knew staffing levels they mandated made it impossible to provide for their residents' needs.",
