"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >","Boulder Falcon, LLC v. Brown","","","https://www.westlaw.com/Document/I2dfa13e0244211efafa691467b191a99/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F572080458999","United States District Court, D. Utah.","March 11, 2024","--- F.Supp.3d ----","Defendants' counterclaims against limited liability company's (LLC) agent and corporation for open account, promissory estoppel, quantum meruit, and unjust enrichment under Utah law, which arose from dispute over shared ownership of aircraft and were premised on alter ego liability, were not barred by statute of frauds and parol evidence rule; equitable theory of alter ego was conceptually unrelated from party's promise to answer for debt of another, whether court could, in its inherent power, fashion appropriate remedy for legal wrongs by disregarding corporate form was unrelated to regulation of private parties' promises to one another, and counterclaims were not premised on existence of any guaranty agreement. Utah Code Ann. § 25-5-4(1)(a).","COMMERCIAL LAW  Contracts. Genuine disputes of material fact precluded summary judgment in favor of defendants on LLC's claim for breach of contract under Georgia law.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >","Estate of Ewers","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I5b6ae9f0bfa011eeaf10deeb49bffa04&rank=2&listSource=Search&list=CUSTOMDIGEST&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I5b6ae9f0bfa011eeaf10deeb49bffa04/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F812078485113","Court of Appeals of Texas, Houston (1st Dist.).","January 30, 2024","695 S.W.3d 603","There was no evidence that mining company was alter ego of owner of interest in company, even though there was some evidence that owner used company funds improperly by transferring money from company's checking account into an account owner used for both personal and business expenses; owner was not sole owner, and transfers were unauthorized.","TORTS  Fraud. Investors' claims against LLC owner's estate for fraud and unjust enrichment were not barred by applicable statutes of limitations.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >","Boobuli's LLC v. State Farm General Insurance Company","","","https://www.westlaw.com/Document/I8b4f6680bb9211ee9614e7cb54c94fa8/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F22078438653","United States District Court, N.D. California.","January 24, 2024","712 F.Supp.3d 1300","Under California law, insurer's parent corporation could not be held liable on alter ego theory in insured's suit alleging that insurer failed to properly adjust premiums for its business risk policies despite unavoidable decrease in insured's business operations due to COVID pandemic, absent evidence that insurer was inadequately capitalized and failure to disregard separate identities corporate would result in fraud or injustice.","INSURANCE  Premiums. Challenge under Unfair Competition Law to lack of premium adjustment during COVID-19 pandemic was within jurisdiction of insurance department.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >","Lentner v. Upstate Forestry and Development, LLC","","","https://www.westlaw.com/Document/I3e85e470a12811eeaa34badc2aba2c71/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F12077859886","Supreme Court, Appellate Division, Fourth Department, New York.","December 22, 2023","222 A.D.3d 1369","Piercing of timber company's corporate veil to hold company's owner personally liable was not warranted, in action arising out of timber sale contract between company and property owner for breach of contract, fraud, violation of statute prohibiting unauthorized cutting of timber, conversion, and unjust enrichment, where company owner was acting on behalf of company at all relevant times, and did not engage in acts amounting to abuse or perversion of corporate form warranting piercing of veil. N.Y. RPAPL § <a href=""/Link/Document/FullText?findType=L&pubNum=1000130&cite=NYRAS861&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=b48ae49d6f7047889e0471cc0af734ff"">861</a>.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Piercing of timber company's corporate veil to hold company's owner personally liable for breach of contract and other claims was not warranted.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >","Estate of Ewers","Red KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I1abd2750428d11eeb435d735979b7fae&rank=5&listSource=Search&list=CUSTOMDIGEST&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I1abd2750428d11eeb435d735979b7fae/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F742076263008","Court of Appeals of Texas, Houston (1st Dist.).","August 24, 2023","Not Reported in S.W. Rptr.","There was no evidence that mining company was alter ego of owner of interest in company, even though there was some evidence that owner used company funds improperly by transferring money from company's checking account into an account owner used for both personal and business expenses; owner was not sole owner, and transfers were unauthorized.","TORTS  Fraud. Investors' claims against LLC owner's estate for fraud and unjust enrichment were not barred by applicable statutes of limitations.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >","Michigan GeoSearch, Inc. v. TC Energy Corporation","","","https://www.westlaw.com/Document/I57d9aef0f20b11ee9104dba4eddc7301/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F102079472363","United States District Court, E.D. Michigan, Southern Division.","March 31, 2023","694 F.Supp.3d 928","Piercing corporate veil was not warranted under Michigan law to allow owner of natural gas well to seek recovery from parent company of owner of natural gas storage field, in well owner's action against parent company based on allegations that natural gas was migrating from field to well; parent company never owned or operated field, field owner never granted parent company storage rights, state and federal agencies recognized and issued permits to field owner as owner and operator of field, statements on companies' websites about companies' relationship were consistent with parent-subsidiary relationship, and alleged fraudulent and wrongful conduct of field owner related only to field owner's own actions, rather than parent company's use of field owner.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Piercing corporate veil was not warranted under Michigan law to allow owner of natural gas well to seek recovery from parent company.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >","Malaro v. Wilkie","","","https://www.westlaw.com/Document/I0195209061c711edbf39cf32a4dcbebd/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F32070499233","United States District Court, D. Massachusetts.","November 10, 2022","640 F.Supp.3d 192","Under Massachusetts law, fact that contractor was president and sole officer of corporation did not constitute ""pervasive control"" in support of piercing corporate veil, and, thus, homeowners could not maintain their claims against contractor in his individual capacity for breach of contract, fraudulent misrepresentation, conversion, and breach of implied warranty of good workmanship, arising from renovations that homeowners hired contractor to perform at their residence.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Fact that contractor was president and sole officer of corporation did not constitute pervasive control in support of piercing corporate veil.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >","Certain Underwriters at Lloyds v. CSX Transportation, Inc.","","","https://www.westlaw.com/Document/I8a9140608d5e11ec96ceb00cb8dbec0e/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F72055559332","United States District Court, S.D. Illinois.","February 11, 2022","585 F.Supp.3d 1154","Under Illinois law, insurer for shipper of locomotives demonstrated a unity of ownership and interest between first railroad company, which was headquartered in Kentucky, and second railroad company, which operated railroads in Illinois, as required to pierce the corporate veil to confer personal jurisdiction over first company, in action for damages associated with train derailment; companies shared directors and officers, and companies entered management agreement, whereby second company's customer could use first company's internet booking service.","TRANSPORTATION  Railroads. Railroad company did not provide a service through its railway booking website, as required for liability under the Interstate Commerce Act.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >","Certain Underwriters at Lloyds v. CSX Transportation, Inc.","","","https://www.westlaw.com/Document/I8a9140608d5e11ec96ceb00cb8dbec0e/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82055559332","United States District Court, S.D. Illinois.","February 11, 2022","585 F.Supp.3d 1154","Under Illinois law, insurer for shipper of locomotives failed to demonstrate that the adherence to the fiction of separate corporate existence of first railroad company, which was headquartered in Kentucky, and second railroad company, which operated railroads in Illinois, would sanction fraud or promote injustice, as required to pierce the corporate veil to confer personal jurisdiction over first company, in action for damages associated with train derailment; first company's presence in the action was not required to prevent an unjust outcome, as there was no evidence that second company was anything other than an adequately capitalized corporation, suggesting that insurer could recover against second company.","TRANSPORTATION  Railroads. Railroad company did not provide a service through its railway booking website, as required for liability under the Interstate Commerce Act.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >","Sacred Heart Health Services v. MMIC Insurance, Inc.","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I5a57bff05cbc11ec9653d0f0dfec94ba&rank=10&listSource=Search&list=CUSTOMDIGEST&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I5a57bff05cbc11ec9653d0f0dfec94ba/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=b48ae49d6f7047889e0471cc0af734ff&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F752055177095","United States District Court, D. South Dakota, Southern Division.","December 13, 2021","575 F.Supp.3d 1137","Allegations by insured health system and surgery center that involvement of liability insurer's parent company in insurer's purported deceit and bad-faith conduct in process of settling underlying tort actions against insureds rendered it inequitable or unjust to adhere to fiction of corporate separateness were sufficient to state claim for breaching of corporate veil under South Dakota law, where insureds alleged that parent company's chief legal officer made unconditional offer for insurer to contribute $2 million to global settlement of underlying actions, that insurer, through such officer, suppressed the fact that insurer had no intention to perform on such promise, and that insurer failed to disclose that contribution would be contingent on waiver of bad-faith claims against insurer. S.D. Codified Laws § 20-10-2(4).","INSURANCE  Liability. Liability insurer's alleged defense under reservation of rights agreement could permit insureds to bind insurer to reasonable settlement.",
