"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1065 Insolvency, bankruptcy, and receivership >","In re Kwok","","","https://www.westlaw.com/Document/Iaf311b906cbb11ef9d828ef908a4e050/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=5e2557dde657478fa8cffd8d24653515&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F242081681224","United States Bankruptcy Court, D. Connecticut.","June 14, 2024","--- B.R. ----","Bankruptcy trustee plausibly stated alter ego claim under Delaware law, in adversary proceeding against entities seeking turnover of assets, on allegations individual Chapter 11 debtor controlled entities, entity that owned 99.9999% of defendant entities was wholly owned by individual debtor's female employee and assistant, who worked with individual debtor at debtor's adjudged alter ego, remaining 0.0001% of each entity was owned by male employee and assistant, who worked with individual debtor in his media business, individual debtor invoked his Fifth Amendment rights against self-incrimination regarding his control over both employees and assistants, and female employee was indicted on charges relating to alleged fraud perpetrated by, among others, principally individual debtor and involving entities, and other employees of individual debtor's adjudged alter ego worked at entities. <a href=""/Link/Document/FullText?findType=L&pubNum=1000583&cite=USCOAMENDV&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">U.S. Const. Amend. 5</a>; 11 U.S.C.A. §§ <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS541&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">541</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS542&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">542</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS544&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">544</a>.","BANKRUPTCY  Bankruptcy Estate. Chapter 11 bankruptcy trustee had standing to bring turnover claim on behalf of creditors at large.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1065 Insolvency, bankruptcy, and receivership >","In re Kwok","","","https://www.westlaw.com/Document/Iaf311b906cbb11ef9d828ef908a4e050/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=5e2557dde657478fa8cffd8d24653515&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F252081681224","United States Bankruptcy Court, D. Connecticut.","June 14, 2024","--- B.R. ----","Bankruptcy trustee plausibly stated alter ego under Delaware law, in adversary proceeding against entities seeking turnover of assets, on allegations individual Chapter 11 debtor used entities for his own purposes, entities were affiliates of other entities that court ruled were part of individual debtor's media operations and were indirectly owned by individual debtor, as stated by entities' outside accountant, entities were used by entities related to individual debtor to transfer liquid assets, including making payments to maintain pleasure yacht that court had determined was beneficially owned by individual debtor, maintain aircraft that court had determined was beneficially owned by individual debtor, and purchase another aircraft that was individual debtor's airplane, and entity made numerous payments to entities and individuals associated with and who performed work for individual debtor. 11 U.S.C.A. §§ <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS541&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">541</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS542&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">542</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS544&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">544</a>.","BANKRUPTCY  Bankruptcy Estate. Chapter 11 bankruptcy trustee had standing to bring turnover claim on behalf of creditors at large.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1065 Insolvency, bankruptcy, and receivership >","In re Kwok","","","https://www.westlaw.com/Document/Iaf311b906cbb11ef9d828ef908a4e050/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=5e2557dde657478fa8cffd8d24653515&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F262081681224","United States Bankruptcy Court, D. Connecticut.","June 14, 2024","--- B.R. ----","Bankruptcy trustee plausibly stated entities were financed by individual Chapter 11 debtor, supporting alter ego claim under Delaware law in adversary proceeding against entities seeking turnover of assets, on allegations that entity was funded by entities associated with individual debtor, including his adjudged alter ego and other entities courts had found were controlled by individual debtor and other defendant entities were funded by followers and associates of individual debtor. 11 U.S.C.A. §§ <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS541&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">541</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS542&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">542</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS544&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">544</a>.","BANKRUPTCY  Bankruptcy Estate. Chapter 11 bankruptcy trustee had standing to bring turnover claim on behalf of creditors at large.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1065 Insolvency, bankruptcy, and receivership >","In re Kwok","","","https://www.westlaw.com/Document/Iaf311b906cbb11ef9d828ef908a4e050/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=5e2557dde657478fa8cffd8d24653515&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F272081681224","United States Bankruptcy Court, D. Connecticut.","June 14, 2024","--- B.R. ----","Bankruptcy trustee plausibly stated individual Chapter 11 debtor had pattern of using shell companies to shelter his assets from his creditors, supporting alter ego claim under Delaware law in adversary proceeding against entities seeking turnover of assets, where complaint made specific allegations regarding individual debtor's alleged ""shell game,"" complaint referred to prior judicial findings regarding other entities, which effected that purpose, as well as prior citations for contempt regarding turnover of assets in judgment collection proceedings, complaint referred to declaration filed in individual debtor's Chapter 11 case by alleged witness, and individual debtor invoked his Fifth Amendment rights against self-incrimination regarding subject matter of adversary proceeding. <a href=""/Link/Document/FullText?findType=L&pubNum=1000583&cite=USCOAMENDV&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">U.S. Const. Amend. 5</a>; 11 U.S.C.A. §§ <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS541&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">541</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS542&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">542</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS544&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">544</a>.","BANKRUPTCY  Bankruptcy Estate. Chapter 11 bankruptcy trustee had standing to bring turnover claim on behalf of creditors at large.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1065 Insolvency, bankruptcy, and receivership >","In re Kwok","","","https://www.westlaw.com/Document/Iaf311b906cbb11ef9d828ef908a4e050/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=5e2557dde657478fa8cffd8d24653515&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F302081681224","United States Bankruptcy Court, D. Connecticut.","June 14, 2024","--- B.R. ----","Bankruptcy trustee sufficiently pleaded alter ego under Delaware law, supporting trustee's alter ego claim under Delaware law in adversary proceeding against entities seeking turnover of assets, on plausible allegations entities did not observe corporate formalities but rather had porous border with other entities associated with individual Chapter 11 debtor and their assets were used by individual debtor, his family and associates, and other entities related to individual debtor, individual debtor siphoned entities' assets for his personal benefit, entities operated as single unit with individual debtor and were undercapitalized, entities served as façade for individual debtor, and corporate forms of entities caused fraud or similar injustice. 11 U.S.C.A. §§ <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS541&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">541</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS542&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">542</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS544&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">544</a>.","BANKRUPTCY  Bankruptcy Estate. Chapter 11 bankruptcy trustee had standing to bring turnover claim on behalf of creditors at large.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1065 Insolvency, bankruptcy, and receivership >","In re Cameo","","","https://www.westlaw.com/Document/Ie4f81ba008db11ef8576e37e2d3d28a6/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=5e2557dde657478fa8cffd8d24653515&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F182079810074","United States Bankruptcy Court, E.D. New York.","April 30, 2024","661 B.R. 275","Chapter 7 debtor was liable for the indebtedness owed by his wholly owned camera company to creditor, an online marketplace which debtor's company allegedly used to defraud thousands of company's customers, to whom creditor then issued refunds; debtor was the person who perpetrated the subject ""hit-and-run"" fraud, a type of abusive selling pattern whereby his company accepted money from customers, failed to fulfill customer orders, and then disappeared with customers' money, as debtor, who was company's only shareholder, officer, director, and employee, as well as the sole signatory for its bank account, solely controlled company, and, except for packages allegedly packed and shipped by agency workers, debtor performed all day-to-day activities for company. 11 U.S.C.A. § 523(a)(2)(A).","BANKRUPTCY  Discharge. Debt to online marketplace arising from hit-and-run fraud in which debtor's company allegedly engaged fell within the fraud discharge exception.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1065 Insolvency, bankruptcy, and receivership >","138-77 Queens Blvd LLC v. Silver","","","https://www.westlaw.com/Document/I27d291e0256511ee8907e2b32838c1c7/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=5e2557dde657478fa8cffd8d24653515&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F192075632276","United States District Court, E.D. New York.","July 17, 2023","682 F.Supp.3d 271","Under New York law, the diversion of funds to make a corporation judgment-proof constitutes a wrong for the purposes of determining whether the corporate veil should be pierced.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Landlord plausibly alleged that father of personal guarantor of its commercial tenant exercised complete control and domination over tenant as required to pierce corporate veil as to father.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1065 Insolvency, bankruptcy, and receivership >","McCallan v. Wilkins","","","https://www.westlaw.com/Document/I616bc860c27111edb30aae965a5264be/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=5e2557dde657478fa8cffd8d24653515&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F112073497681","United States District Court, M.D. Alabama, Northern Division.","March 13, 2023","649 B.R. 893","Bankruptcy Court's finding, that seven non-party entities were Chapter 7 debtor's alter egos under Alabama law, such that the Court did not violate their due process rights when, in trustee's adversary proceeding against debtor's wife, the Court avoided their conveyances to her as fraudulent transfers, was supported by evidence that debtor wholly owned five of the entities, that debtor wholly owned sixth entity before he transferred ownership to wife, that debtor owned 95% of seventh entity through an intermediary trust, with wife owning the remaining 5%, that debtor dominated and controlled the entities, and that entities did not observe the corporate form, but intermingled personal and corporate funds among them and in making transfers to wife, thus draining funds from entities. <a href=""/Link/Document/FullText?findType=L&pubNum=1000583&cite=USCOAMENDV&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">U.S. Const. Amend. 5</a>; <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS544&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">11 U.S.C.A. §§ 544</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS548&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">548</a>.","BANKRUPTCY  Professionals. Bankruptcy Court did not abuse its discretion in denying recusal motion that was based in part on objectionable email sent by party's former counsel.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1065 Insolvency, bankruptcy, and receivership >","McCallan v. Wilkins","","","https://www.westlaw.com/Document/I616bc860c27111edb30aae965a5264be/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=5e2557dde657478fa8cffd8d24653515&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F122073497681","United States District Court, M.D. Alabama, Northern Division.","March 13, 2023","649 B.R. 893","Record did not support Bankruptcy Court's finding that, under Alabama law, three non-party entities were Chapter 7 debtor's alter egos, for purposes of determining whether the Court violated their due process rights when, in trustee's adversary proceeding against debtor's wife, it avoided their conveyances to her as fraudulent transfers; debtor did not own first entity, but performed consulting work for it and directed that his fees be paid to his wife, debtor had similar payment arrangements with second entity and third entity, and there was no suggestion that debtor dominated and controlled any of the entities. <a href=""/Link/Document/FullText?findType=L&pubNum=1000583&cite=USCOAMENDV&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">U.S. Const. Amend. 5</a>; <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS544&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">11 U.S.C.A. §§ 544</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=11USCAS548&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=5e2557dde657478fa8cffd8d24653515"">548</a>.","BANKRUPTCY  Professionals. Bankruptcy Court did not abuse its discretion in denying recusal motion that was based in part on objectionable email sent by party's former counsel.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1065 Insolvency, bankruptcy, and receivership >","In re Wolf","","","https://www.westlaw.com/Document/I59b1aaf042f511ed84e6d5212913da69/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=5e2557dde657478fa8cffd8d24653515&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F362057171946","United States District Court, N.D. Illinois, Eastern Division.","September 30, 2022","644 B.R. 725","Bankruptcy trustee is empowered by the Bankruptcy Code's strong-arm provision to assert a reverse veil-piercing claim on behalf of creditors generally, though reverse piercing of the corporate veil is a rarity, and even more so in bankruptcy. 11 U.S.C.A. § 544(a).","BANKRUPTCY  Business Relationships. Court properly granted Chapter 7 trustee's claim for outside reverse veil-piercing, so as to use corporate assets to satisfy debtor's personal debts.",
