"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1063 Environmental liabilities and violations >","Bristow First Assembly of God v. BP p.l.c.","","","https://www.westlaw.com/Document/Iba0d9fd0b9ce11ed96c3f6df97f2f7e8/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82073392579","United States District Court, N.D. Oklahoma.","March 2, 2023","660 F.Supp.3d 1115","Under Delaware law, church, pastor, and pastor's wife produced no evidence that alleged ""public wrong"" of pollution of church property by previous operation of oil refinery was caused by fraud or manipulation of corporate structure of successors-in-interest to oil company that acquired property after refinery stopped operations, as required to pierce corporate veil and hold a Delaware energy company, which acquired corporation whose subsidiary was indirectly a parent corporation of the oil company, liable for pollution under negligence and other theories.","REAL PROPERTY  Nuisance. Church knew or should have known that its property was contaminated by oil more than two years before it filed nuisance and other claims.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1063 Environmental liabilities and violations >","Bristow First Assembly of God v. BP p.l.c.","","","https://www.westlaw.com/Document/Iba0d9fd0b9ce11ed96c3f6df97f2f7e8/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F122073392579","United States District Court, N.D. Oklahoma.","March 2, 2023","660 F.Supp.3d 1115","Letter sent by Environmental Protection Agency (EPA) to Delaware energy company, which acquired corporation whose subsidiary was indirectly a parent corporation of oil company liable for contamination of church property, warning company of potential liability for the contamination under CERCLA, was not relevant to determination of whether corporate veil should be pierced under Delaware law to hold energy company liable for contamination under negligence and other theories. Comprehensive Environmental Response, Compensation, and Liability Act of 1980 § 101 et seq., <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=42USCAS9601&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093"">42 U.S.C.A. § 9601 et seq.</a>","REAL PROPERTY  Nuisance. Church knew or should have known that its property was contaminated by oil more than two years before it filed nuisance and other claims.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1063 Environmental liabilities and violations >","Cyprus Amax Minerals Company v. TCI Pacific Communications, LLC","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I2f006d309e4211ecb7ceee74f6b36648&rank=3&listSource=Search&list=CUSTOMDIGEST&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I2f006d309e4211ecb7ceee74f6b36648/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F132055692177","United States Court of Appeals, Tenth Circuit.","March 7, 2022","28 F.4th 996","Under Kansas law, unjust outcome would have resulted to third parties if district court had refused to pierce corporate veil of subsidiary of limited liability company's (LLC) predecessor, as relevant to LLC's liability under CERCLA for remediation of area in which subsidiary had operated a zinc smelter; LLC's position that subsidiary was an entirely separate corporation from predecessor was contrary to predecessor's representation before the Interstate Commerce Commission (ICC) nearly a century earlier that subsidiary was merely an instrumentality of predecessor, and practice of holding subsidiary out as distinct entity while representing subsidiary as mere component of predecessor could be seen as fraudulent attempt to skirt Kansas law. Comprehensive Environmental Response, Compensation, and Liability Act of 1980 § 101, 42 U.S.C.A. § <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=42USCAS9601&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093"">9601 et seq.</a>","ENVIRONMENTAL LAW  CERCLA. Company was liable for contribution under CERCLA based on operation of zinc smelter by subsidiary of company's predecessor.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1063 Environmental liabilities and violations >","Cyprus Amax Minerals Company v. TCI Pacific Communications, LLC","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I2f006d309e4211ecb7ceee74f6b36648&rank=4&listSource=Search&list=CUSTOMDIGEST&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I2f006d309e4211ecb7ceee74f6b36648/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F152055692177","United States Court of Appeals, Tenth Circuit.","March 7, 2022","28 F.4th 996","Under Kansas law, factors for determining whether subsidiary was alter ego of parent supported finding that subsidiary of limited liability company's (LLC) predecessor was predecessor's alter ego, as relevant to LLC's liability under CERCLA for remediation of area in which subsidiary had operated a zinc smelter; it was logical to conclude that predecessor had been flouting Kansas law to operate subsidiary at time when ability of a foreign entity to invest in Kansas was limited, predecessor conducted itself as if it owned all of predecessor's capital stock, predecessor and subsidiary shared common officers and directors, and predecessor's own statements suggested that any distinction between predecessor and subsidiary was mere formality. Comprehensive Environmental Response, Compensation, and Liability Act of 1980 § 101, 42 U.S.C.A. § <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=42USCAS9601&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093"">9601 et seq.</a>","ENVIRONMENTAL LAW  CERCLA. Company was liable for contribution under CERCLA based on operation of zinc smelter by subsidiary of company's predecessor.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1063 Environmental liabilities and violations >","Cyprus Amax Minerals Company v. TCI Pacific Communications, LLC","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I2f006d309e4211ecb7ceee74f6b36648&rank=5&listSource=Search&list=CUSTOMDIGEST&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I2f006d309e4211ecb7ceee74f6b36648/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F162055692177","United States Court of Appeals, Tenth Circuit.","March 7, 2022","28 F.4th 996","Under Kansas law, lack of stock ownership in subsidiary on part of limited liability company's (LLC) predecessor did not preclude finding that subsidiary was predecessor's alter ego, as relevant to LLC's liability under CERCLA for remediation of area in which subsidiary had operated a zinc smelter; stock ownership was only one of ten factors to consider for determining alter ego status under Kansas law, affording lack of stock ownership nearly dispositive weight would allow parent companies to avoid veil piercing while disregarding corporate separateness in practice, and ample facts supported determination that predecessor in fact owned subsidiary despite on-paper representations of ownership. Comprehensive Environmental Response, Compensation, and Liability Act of 1980 § 101, 42 U.S.C.A. § <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=42USCAS9601&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093"">9601 et seq.</a>","ENVIRONMENTAL LAW  CERCLA. Company was liable for contribution under CERCLA based on operation of zinc smelter by subsidiary of company's predecessor.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1063 Environmental liabilities and violations >","Cyprus Amax Minerals Company v. TCI Pacific Communications, LLC","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I2f006d309e4211ecb7ceee74f6b36648&rank=6&listSource=Search&list=CUSTOMDIGEST&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I2f006d309e4211ecb7ceee74f6b36648/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172055692177","United States Court of Appeals, Tenth Circuit.","March 7, 2022","28 F.4th 996","Evidence supported determination that, under Kansas law, subsidiary of limited liability company's (LLC) predecessor was predecessor's alter ego throughout subsidiary's 20-year existence, rather than for just a five-year period within the larger span, as relevant to LLC's liability under CERCLA for remediation of area in which subsidiary had operated a zinc smelter; subsidiary was predecessor's alter ego at least throughout the five-year period, no evidence indicated that material circumstances changed before or after that period, individuals affiliated with predecessor incorporated subsidiary, and predecessor received the dividend paid when subsidiary ceased operation, not the individuals listed as subsidiary's shareholders. Comprehensive Environmental Response, Compensation, and Liability Act of 1980 § 101, 42 U.S.C.A. § <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=42USCAS9601&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093"">9601 et seq.</a>","ENVIRONMENTAL LAW  CERCLA. Company was liable for contribution under CERCLA based on operation of zinc smelter by subsidiary of company's predecessor.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1063 Environmental liabilities and violations >","Seattle Times Company v. LeatherCare, Inc.","","","https://www.westlaw.com/Document/I77ebf740ffc311eaa1a48b505e407413/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F32051930806","United States Court of Appeals, Ninth Circuit.","September 25, 2020","829 Fed.Appx. 176","District Court did not clearly err in determining that corporate successor of former owner of commercial property contaminated by halogenated hydrocarbons and petroleum products did not assume liabilities of former owner, in current property owner's action to recover costs of remediation and cleanup expenses with respect to soil and groundwater, under Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA) and Washington's Model Toxics Control Act (MTCA), absent evidence that former owner's corporate formalities were disregarded after it became subsidiary of acquiring corporation. Comprehensive Environmental Response, Compensation, and Liability Act of 1980, § 101 et seq.; <a href=""/Link/Document/FullText?findType=L&pubNum=1000259&cite=WAST70.105D.010&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093"">Wash. Rev. Code Ann. § 70.105D.010 et seq.</a>","ENVIRONMENTAL LAW  CERCLA. Interim action plan for remediation of property did not comply with national contingency plan, precluding former owner's CERCLA claim against tenant.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1063 Environmental liabilities and violations >","Atlantic Richfield Co. v. Central Valley Regional Water Quality Control Bd.","","","https://www.westlaw.com/Document/If6ec4da0efa311e98c25d953629e1b0a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F12049413421","Court of Appeal, Third District, California.","September 13, 2019","41 Cal.App.5th 91","Under federal law, a parent corporation is subject to derivative liability for a subsidiary's discharge of hazardous waste where circumstances are present that would traditionally allow the application of the doctrine of piercing the corporate veil.","ENVIRONMENTAL LAW  Hazardous Waste. Trial court could not base holding that parent company was not directly liable for hazardous waste solely on lack of involvement in waste disposal.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1063 Environmental liabilities and violations >","A.O.A. v. Rennert","","","https://www.westlaw.com/Document/I6c98b820d1d411e8b93ad6f77bf99296/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F412045779450","United States District Court, E.D. Missouri, Eastern Division.","October 16, 2018","350 F.Supp.3d 818","Peruvian children demonstrated that piercing the corporate veil was warranted under Missouri and New York law in action against American companies to recover for injuries allegedly caused by pollution at metallurgical smelting and refining complex owned and operated by the defendant companies and their Peruvian subsidiary, based on allegations that defendants controlled the policy and decision-making processes of Peruvian subsidiary through various agreements for professional, technical, and managerial services, undercapitalization of Peruvian subsidiary left the company unable to implement environmental protection measures, and it was foreseeable that the lack of pollution-control technology could result in harm because of the danger from un-remediated toxic emissions.","TORTS  Negligence. Allegations that Peruvian children were injured by refinery's pollution were sufficient to state plausible claims of negligence.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1063 Environmental liabilities and violations >","Trinity Industries, Inc. v. Greenlease Holding Company","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I5ed9d190b5ed11e8afcec29e181e0751&rank=10&listSource=Search&list=CUSTOMDIGEST&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I5ed9d190b5ed11e8afcec29e181e0751/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=c0f9e9e378fd44009f2a1f0da5b3d093&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F352045472962","United States Court of Appeals, Third Circuit.","September 11, 2018","903 F.3d 333","Direct and derivative liability are two analytically distinct bases for holding a parent company liable for environmental cleanup costs resulting from a subsidiary's conduct. Comprehensive Environmental Response, Compensation, and Liability Act of 1980 § 113, 42 U.S.C.A. § 9613(f)(1).","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Parent corporation was not directly liable for its subsidiary's share of responsibility for environmental contamination at manufacturing facility.",
