"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1085 Pleading > 101k1085(1) In general >","Midson v. Meeting House Lane Medical Practice, P.C.","","","https://www.westlaw.com/Document/I911c0e305fe111ef91788bc459416e35/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=e3c4a0e967ed42f287e0c2444088cb0d&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92081577008","Supreme Court, Appellate Division, Second Department, New York.","August 21, 2024","230 A.D.3d 673","There are no special pleading requirements for piercing the corporate veil. N.Y. CPLR § <a href=""/Link/Document/FullText?findType=L&pubNum=1000059&cite=NYCPR3016&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=e3c4a0e967ed42f287e0c2444088cb0d"">3016</a>.","HEALTH  Malpractice. Physician who became patient's attending physician after diagnosis and beginning treatment was not liable for medical malpractice.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1085 Pleading > 101k1085(1) In general >","Timilon Corporation v. Empowerment Justice Center Corporation","","","https://www.westlaw.com/Document/Ie882dc60392811ef9bc1a058ad8d82e2/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=e3c4a0e967ed42f287e0c2444088cb0d&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F342080741131","United States District Court, D. Maryland.","July 2, 2024","--- F.Supp.3d ----","Even if seller stated claim against corporation, limited liability companies (LLC), and the entities' operators in connection with sale of air purifiers, seller's allegations on motion for default judgment were insufficient to show that piercing the corporate veil was necessary to prevent fraud or to enforce a paramount equity, as required under Maryland law to render operators liable for breach of contract; seller's allegations did not go so far as to provide clear and convincing evidence of defendants' intention to defraud seller by entering into contract without intending to pay, and seller did not allege that operators disregarded the corporate fiction by, for example, grossly undercapitalizing the entities, siphoning corporate funds, or failing to maintain corporate records. Fed. R. Civ. P. <a href=""/Link/Document/FullText?findType=L&pubNum=1000600&cite=USFRCPR55&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=e3c4a0e967ed42f287e0c2444088cb0d"">55(b)(2)</a>.","COMMERCIAL LAW  Judgment. Entry of default judgment was proper in seller's action against entities and their operators alleging failure to pay for air purifiers.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1085 Pleading > 101k1085(1) In general >","Louis Monteleone Fibres, Ltd. v. Hudson Baylor Brookhaven, LLC","","","https://www.westlaw.com/Document/Idf7b29e0236311efa8fcd9b9081c928a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=e3c4a0e967ed42f287e0c2444088cb0d&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F62080436555","Supreme Court, Appellate Division, Second Department, New York.","June 5, 2024","228 A.D.3d 641","At the pleading stage to pierce the corporate veil, a plaintiff must do more than merely allege that defendant engaged in improper acts or acted in bad faith while representing the corporation.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Waste-paper broker sufficiently alleged facts to support claim to pierce corporate veil of LLCs to hold its members personally liable.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1085 Pleading > 101k1085(1) In general >","Board of Managers of Brighton Tower II Condominium v. Brighton Builder, LLC","","","https://www.westlaw.com/Document/I421e42d0f75e11ee9299c78adf4022ca/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=e3c4a0e967ed42f287e0c2444088cb0d&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52079545525","Supreme Court, Appellate Division, Second Department, New York.","April 10, 2024","226 A.D.3d 736","Party seeking to pierce corporate veil must allege facts that, if taken as true and accorded every favorable inference, would support finding that defendant abused corporate form.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Condominium board of managers could not pierce corporate veil of LLC to hold its manager and controlling principal liable for breach of contract.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1085 Pleading > 101k1085(1) In general >","In re Lee","","","https://www.westlaw.com/Document/I86536a10d71611ee9406b56d423b2f9f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=e3c4a0e967ed42f287e0c2444088cb0d&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F152078839931","Court of Appeals of Texas, Eastland.","February 29, 2024","686 S.W.3d 449","Allegations that there is a piercing of the corporate veil is a theory that must be specifically pleaded or it is waived, unless it is tried by consent.","TORTS  Privileges. Imposition of death penalty sanctions for offensive use of privilege against self-incrimination in tort action constituted abuse of discretion.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1085 Pleading > 101k1085(1) In general >","Moon v. Owadeyah","","","https://www.westlaw.com/Document/Id6e37470bae211ee804ab0719bf90138/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=e3c4a0e967ed42f287e0c2444088cb0d&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F42078418186","Supreme Court, Appellate Division, Second Department, New York.","January 24, 2024","223 A.D.3d 793","Bricklayer employed by subcontractor for construction project failed to state a claim for piercing the corporate veil, to hold general contractor's principal personally liable in bricklayer's action for common law negligence and under scaffold law, workplace safety statute applicable to contractors, and statute requiring contractors to provide reasonable and adequate protection and safety for construction workers, relating to injuries from collapse of scaffold on which bricklayer had been walking, absent allegations that principal abused the privilege of doing business in corporate form in such manner as to cause injury to bricklayer. N.Y. Labor Law §§ <a href=""/Link/Document/FullText?findType=L&pubNum=1000101&cite=NYLBS200&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=e3c4a0e967ed42f287e0c2444088cb0d"">200</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000101&cite=NYLBS240&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=e3c4a0e967ed42f287e0c2444088cb0d"">240(1)</a>, <a href=""/Link/Document/FullText?findType=L&pubNum=1000101&cite=NYLBS241&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=e3c4a0e967ed42f287e0c2444088cb0d"">241(6)</a>.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Bricklayer employed by subcontractor failed to state a claim for piercing the corporate veil to hold general contractor's principal personally liable.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1085 Pleading > 101k1085(1) In general >","Motul S.A. v. USA Wholesale Lubricant, Inc.","","","https://www.westlaw.com/Document/I17dbc3c036d011eebdbff3176d2d1ebb/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=e3c4a0e967ed42f287e0c2444088cb0d&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F182075878357","United States District Court, N.D. California.","August 8, 2023","686 F.Supp.3d 900","High-end motor engine lubricants manufacturer's allegations that individual owner of former distributors operated them as his alter ego companies, that he ""dominated, influenced, and controlled"" each of the distributor corporations and the officers thereof as well as the business, property, and affairs of each, and that distributors were created to continue a fraudulent plan, scheme, and device conceived and operated by owner to infringe on manufacturer's trademarks, sell counterfeit oil, and unfairly compete in the auto supply market, were insufficient to satisfy the unity of interest prong for alter ego liability by owner under California law; the conclusory allegations did not give rise to plausible inference that owner dictated every fact of the distributors' business from broad policy decisions to routine matter of day to day operation. Lanham Trade-Mark Act §§ 32, 43, 15 U.S.C.A. §§ <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=15USCAS1114&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=e3c4a0e967ed42f287e0c2444088cb0d"">1114</a>, 1125(c); Cal. Bus. & Prof. Code § <a href=""/Link/Document/FullText?findType=L&pubNum=1000199&cite=CABPS17200&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=e3c4a0e967ed42f287e0c2444088cb0d"">17200 et seq.</a>","TRADEMARKS  Dilution. Motor oil manufacturer's MOTUL mark was not famous, as required for dilution claim against distributors that allegedly sold counterfeit product.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1085 Pleading > 101k1085(1) In general >","Tabchouri v. Hard Eight Restaurant Company, LLC","","","https://www.westlaw.com/Document/Id18df000315711eea8af81aaed84cfbf/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=e3c4a0e967ed42f287e0c2444088cb0d&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52075803276","Supreme Court, Appellate Division, Second Department, New York.","August 2, 2023","219 A.D.3d 528","At the pleading stage, a plaintiff seeking to pierce the corporate veil must do more than merely allege that the defendant engaged in improper acts or acted in bad faith while representing the corporation.","TORTS  Dram Shop. Piercing corporate veil to hold owners of LLC restaurant operator liable for violation of Dram Shop Act was unwarranted, absent fraud or wrongdoing.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1085 Pleading > 101k1085(1) In general >","Tropical Paradise Resorts, LLC v. JBSHBM, LLC","","","https://www.westlaw.com/Document/If96ebba0ab5f11ed9d438bfa21db1012/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=e3c4a0e967ed42f287e0c2444088cb0d&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172072875537","United States District Court, S.D. Florida.","February 10, 2023","343 F.R.D. 443","When analyzing a veil-piercing claim under a motion to dismiss, a court must take stock that the issue is not whether the plaintiff may ultimately prevail on the piercing the corporate veil theory, but whether the allegations are sufficient to allow them to conduct discovery in an attempt to prove their allegations.","COMMERCIAL LAW  Default. Attorney willfully defaulted in supplemental proceeding by failing to respond to complaint against him even though he filed documents for client.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1079 Actions to Pierce Corporate Veil > 101k1085 Pleading > 101k1085(1) In general >","Rosenshein v. Kushner","","","https://www.westlaw.com/Document/Id014d370975a11edb29ff8a607d8aa04/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=e3c4a0e967ed42f287e0c2444088cb0d&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F42070934022","Supreme Court, Appellate Division, Second Department, New York.","January 18, 2023","212 A.D.3d 744","Allegations that individual defendants dominated corporate entities, commingled corporate assets with their own personal assets, failed to adhere to corporate formalities, and diverted corporate assets for their own personal use, were sufficient at the pleading stage of putative class action to allege that defendants abused the corporate form to perpetrate a wrong against plaintiffs, as required to pierce the corporate veil and state claims for breach of contract, breach of fiduciary duty, and accounting and preservation against individual defendants. N.Y. CPLR § 3211(a)(7).","BUSINESS ORGANIZATIONS  Dismissal. Allegations that individual defendants controlled corporations and diverted assets were sufficient at the pleading stage to pierce the corporate veil.",
