"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1039 Alter ego in general >","Midson v. Meeting House Lane Medical Practice, P.C.","","","https://www.westlaw.com/Document/I911c0e305fe111ef91788bc459416e35/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6d017574d8984430b2fb430ae1151176&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F122081577008","Supreme Court, Appellate Division, Second Department, New York.","August 21, 2024","230 A.D.3d 673","The corporate veil will be pierced to achieve equity, even absent fraud, when a corporation has been so dominated by an individual or another corporation and its separate entity so ignored that it primarily transacts the dominator's business instead of its own and can be called the other's alter ego.","HEALTH  Malpractice. Physician who became patient's attending physician after diagnosis and beginning treatment was not liable for medical malpractice.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1039 Alter ego in general >","Keyes v. Weller","","","https://www.westlaw.com/Document/I4eeb5380356c11efa8ae8c697c3b1781/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6d017574d8984430b2fb430ae1151176&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F42080697087","Supreme Court of Texas.","June 28, 2024","692 S.W.3d 274","Two oft-invoked common-law veil-piercing theories are (1) alter ego, which is triggered when there is such unity between corporation and individual that the separateness of the corporation has ceased, and (2) when the corporate form is used as a sham to perpetrate a fraud.","BUSINESS ORGANIZATIONS  Officers and Directors. Statute limiting liability of corporate agents had no effect on common-law fraud claims against agents for their own tortious conduct.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1039 Alter ego in general >","Haymount Urgent Care PC v. GoFund Advance, LLC","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icb1dcb3033fb11efa8ae8c697c3b1781&rank=3&listSource=Search&list=CUSTOMDIGEST&ppcid=6d017574d8984430b2fb430ae1151176&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Icb1dcb3033fb11efa8ae8c697c3b1781/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6d017574d8984430b2fb430ae1151176&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172080662752","United States District Court, S.D. New York.","June 26, 2024","--- F.Supp.3d ----","In Connecticut, the instrumentality test or the identity test are conducted to determine whether piercing the corporate veil is appropriate; if either test is satisfied, the corporate veil may be pierced.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Joint and several liability was justified under alter ego theory for breach of merchant cash advance agreements.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1039 Alter ego in general >","Capital Advisors, LLC v. Cai","","","https://www.westlaw.com/Document/I49a6e580194f11ef8cf780234fd645c8/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6d017574d8984430b2fb430ae1151176&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F12080305928","Supreme Court of Nevada.","May 23, 2024","548 P.3d 1202","A corporation should be treated as a separate legal entity unless the corporate veil is pierced and the corporation is shown to be the alter ego of a controlling individual.","BUSINESS ORGANIZATIONS  Officers and Directors. Officers who allow a wholly-owned subsidiary to take action adverse to parent corporation can be held liable without use of the alter ego doctrine.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1039 Alter ego in general >","Wells Fargo Bank, N.A. v. Stewart Homes, Inc.","","","https://www.westlaw.com/Document/Ia3062c70131011efb1298959663a2575/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6d017574d8984430b2fb430ae1151176&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F152079947227","United States District Court, C.D. California.","May 2, 2024","--- F.Supp.3d ----","Under California law, alter ego determination is very fact specific.","FINANCE AND BANKING  Attachment and Garnishment. Bank demonstrated probable validity of fraudulent transfer claim under California law, as required to issue writ of attachment.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1039 Alter ego in general >","Wells Fargo Bank, N.A. v. Stewart Homes, Inc.","","","https://www.westlaw.com/Document/Ia3062c70131011efb1298959663a2575/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6d017574d8984430b2fb430ae1151176&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F182079947227","United States District Court, C.D. California.","May 2, 2024","--- F.Supp.3d ----","Under California law, ownership of an interest in the corporation is an essential part of the element of unity of ownership and interest in applying alter ego doctrine; if an individual's ownership is not established, the corporation's obligations cannot be imposed on him or her.","FINANCE AND BANKING  Attachment and Garnishment. Bank demonstrated probable validity of fraudulent transfer claim under California law, as required to issue writ of attachment.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1039 Alter ego in general >","Wells Fargo Bank, N.A. v. Stewart Homes, Inc.","","","https://www.westlaw.com/Document/Ia3062c70131011efb1298959663a2575/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6d017574d8984430b2fb430ae1151176&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F192079947227","United States District Court, C.D. California.","May 2, 2024","--- F.Supp.3d ----","Although typically ""ownership of an interest"" refers to the corporation's stockholders, a wife's community property interest in her husband's stock holdings is sufficient to satisfy the ownership requirements for applying alter ego doctrine under California law.","FINANCE AND BANKING  Attachment and Garnishment. Bank demonstrated probable validity of fraudulent transfer claim under California law, as required to issue writ of attachment.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1039 Alter ego in general >","Wells Fargo Bank, N.A. v. Stewart Homes, Inc.","","","https://www.westlaw.com/Document/Ia3062c70131011efb1298959663a2575/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6d017574d8984430b2fb430ae1151176&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F202079947227","United States District Court, C.D. California.","May 2, 2024","--- F.Supp.3d ----","Under California law, requisite ownership of an interest in the corporation, for purposes of applying alter ego doctrine, may exist for individuals who were actors in the course of conduct constituting the abuse of the corporate privilege.","FINANCE AND BANKING  Attachment and Garnishment. Bank demonstrated probable validity of fraudulent transfer claim under California law, as required to issue writ of attachment.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1039 Alter ego in general >","JNM Express, LLC v. Lozano","","","https://www.westlaw.com/Document/I1bfdebe0fe6211ee86b2beb45dbf3832/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6d017574d8984430b2fb430ae1151176&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82079662161","Supreme Court of Texas.","April 19, 2024","688 S.W.3d 327","Alter ego applies, supporting piercing of corporate veil, when there is such unity between corporation and individual that the separateness of the corporation has ceased and holding only the corporation liable would result in injustice.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Injustice prong for piercing corporate veil on alter ego theory was not met in truck driver's personal injury action against trucking companies.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1039 Alter ego in general >","Brightstar LLC v. Jordan","","","https://www.westlaw.com/Document/I11d4d5a0fdab11eeae49a7729fe2cdd1/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6d017574d8984430b2fb430ae1151176&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F472079650029","Colorado Court of Appeals, Division I.","April 18, 2024","552 P.3d 1133","To pierce the corporate veil, a fact finder must find three elements by a preponderance of the evidence: (1) the entity is the alter ego of the individual; (2) justice requires recognizing the substance of the relationship between the entity and the individual over the form because the corporate fiction was used to perpetrate a fraud or defeat a rightful claim; and (3) disregarding the corporate form will achieve an equitable result.","BUSINESS ORGANIZATIONS  Arbitration. Arbitrator did not exhibit partiality against defendants by rolling his eyes or shaking his head in response to a witness evading questions.",
