"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1036 In general >","Keyes v. Weller","","","https://www.westlaw.com/Document/I4eeb5380356c11efa8ae8c697c3b1781/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1594756c52b24704aa20149fed836181&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F22080697087","Supreme Court of Texas.","June 28, 2024","692 S.W.3d 274","Courts will disregard the corporate fiction, i.e., pierce the corporate veil, and hold corporate agents individually liable for those corporate obligations when the agents abuse the corporate privilege.","BUSINESS ORGANIZATIONS  Officers and Directors. Statute limiting liability of corporate agents had no effect on common-law fraud claims against agents for their own tortious conduct.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1036 In general >","Haymount Urgent Care PC v. GoFund Advance, LLC","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icb1dcb3033fb11efa8ae8c697c3b1781&rank=2&listSource=Search&list=CUSTOMDIGEST&ppcid=1594756c52b24704aa20149fed836181&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Icb1dcb3033fb11efa8ae8c697c3b1781/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1594756c52b24704aa20149fed836181&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F182080662752","United States District Court, S.D. New York.","June 26, 2024","--- F.Supp.3d ----","Under Connecticut law, regardless of whether instrumentality test or the identity test is used, the corporate veil is pierced only under exceptional circumstances, for example, where the corporation is a mere shell, serving no legitimate purpose, and used primarily as an intermediary to perpetrate fraud or promote injustice.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Joint and several liability was justified under alter ego theory for breach of merchant cash advance agreements.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1036 In general >","Haymount Urgent Care PC v. GoFund Advance, LLC","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icb1dcb3033fb11efa8ae8c697c3b1781&rank=3&listSource=Search&list=CUSTOMDIGEST&ppcid=1594756c52b24704aa20149fed836181&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Icb1dcb3033fb11efa8ae8c697c3b1781/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1594756c52b24704aa20149fed836181&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F192080662752","United States District Court, S.D. New York.","June 26, 2024","--- F.Supp.3d ----","In Connecticut, under the instrumentality rule for determining whether piercing the corporate veil is appropriate, a plaintiff must prove: (1) control, not mere majority or complete stock control, but complete domination, not only of finances but of policy and business practice in respect to the transaction attacked so that the corporate entity as to this transaction had at the time no separate mind, will or existence of its own, (2) that such control must have been used by the defendant to commit fraud or wrong, to perpetrate the violation of a statutory or other positive legal duty, or a dishonest or unjust act in contravention of the plaintiff's legal rights, and (3) that the aforesaid control and breach of duty must proximately cause the injury or unjust loss complained of.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Joint and several liability was justified under alter ego theory for breach of merchant cash advance agreements.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1036 In general >","In re Tampa Hyde Park Café Properties, LLC","","","https://www.westlaw.com/Document/Iec0627c023d411efabe9cb0b7ac61d99/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1594756c52b24704aa20149fed836181&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F32080449091","United States Bankruptcy Court, M.D. Florida, Tampa Division.","June 5, 2024","660 B.R. 322","Elements of alter ego liability under Florida law are (1) alleged alter ego was dominated and controlled to extent it lacked independent existence; (2) alter ego's corporate form was used fraudulently or for an improper purpose; and (3) fraudulent or improper use of alter ego's corporate form caused harm.","BANKRUPTCY  Claims. Alter ego claim under Florida law by IRS against Chapter 7 debtor was personal claim that could not be released by Chapter 7 trustee.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1036 In general >","Equal Employment Opportunity Commission v. Village At Hamilton Pointe LLC","","","https://www.westlaw.com/Document/Ic2f528300e4a11efb03ff42d8896e03b/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1594756c52b24704aa20149fed836181&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F782079886278","United States Court of Appeals, Seventh Circuit.","May 9, 2024","102 F.4th 387","The corporate veil is pierced under Indiana law, when it is pierced, not because the corporate group is integrated, but because it has neglected forms intended to protect creditors from being confused about whom they can look to for the payment of their claims.","LABOR AND EMPLOYMENT  Discrimination. Long-term care facility residents' racial slurs and coworkers' statements perpetuating racial stereotypes did not constitute hostile work environment.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1036 In general >","W.P. Productions, Inc. v. Tramontina U.S.A., Inc.","","","https://www.westlaw.com/Document/I817499100bf511ef8576e37e2d3d28a6/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1594756c52b24704aa20149fed836181&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F32079838334","United States Court of Appeals, Eleventh Circuit.","May 6, 2024","101 F.4th 787","Florida law on piercing the corporate veil focuses on whether improper conduct occurred.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Corporation's sole shareholder used corporate form for improper purpose of evading Florida's Rule of Priorities, supporting piercing of corporate veil.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1036 In general >","W.P. Productions, Inc. v. Tramontina U.S.A., Inc.","","","https://www.westlaw.com/Document/I817499100bf511ef8576e37e2d3d28a6/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1594756c52b24704aa20149fed836181&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F42079838334","United States Court of Appeals, Eleventh Circuit.","May 6, 2024","101 F.4th 787","Under Florida law for piercing the corporate veil, which requires the corporate form to have been used fraudulently or for an improper purpose, ""improper purposes"" can include a subterfuge to mislead or defraud creditors, to hide assets, or to evade the requirements of a statute, or some analogous betrayal of trust.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Corporation's sole shareholder used corporate form for improper purpose of evading Florida's Rule of Priorities, supporting piercing of corporate veil.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1036 In general >","W.P. Productions, Inc. v. Tramontina U.S.A., Inc.","","","https://www.westlaw.com/Document/I817499100bf511ef8576e37e2d3d28a6/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1594756c52b24704aa20149fed836181&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82079838334","United States Court of Appeals, Eleventh Circuit.","May 6, 2024","101 F.4th 787","Under Florida law, piercing the corporate veil is appropriate when the corporate form was used fraudulently or for an improper purpose.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Corporation's sole shareholder used corporate form for improper purpose of evading Florida's Rule of Priorities, supporting piercing of corporate veil.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1036 In general >","Chubb Capital I Limited v. New Orleans City","","","https://www.westlaw.com/Document/Ieb0492000c3511ef8576e37e2d3d28a6/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1594756c52b24704aa20149fed836181&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F252079842814","United States District Court, E.D. Louisiana.","May 6, 2024","--- F.Supp.3d ----","Corporate veil may be pierced to hold alter ego liable for commitments of its instrumentality only if owner exercised complete control over corporation with respect to transaction at issue and such control was used to commit fraud or wrong that injured party seeking to pierce veil.","INSURANCE  Arbitration and Appraisal. Insurers, who were non-signatories to arbitration agreement, did not agree to arbitrate city's claims against insureds.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1036 In general >","Wells Fargo Bank, N.A. v. Stewart Homes, Inc.","","","https://www.westlaw.com/Document/Ia3062c70131011efb1298959663a2575/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1594756c52b24704aa20149fed836181&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F142079947227","United States District Court, C.D. California.","May 2, 2024","--- F.Supp.3d ----","Under California law, a corporation's acts or obligations can be legally recognized as those of a particular person if: (1) there is such unity of interest and ownership that the separate personalities of the corporation and the individual no longer exist; and (2) an inequitable result will follow if the acts are treated as those of the corporation alone, that is, adherence to the fiction of the separate existence of the corporation would, under the particular circumstances, sanction a fraud or promote injustice.","FINANCE AND BANKING  Attachment and Garnishment. Bank demonstrated probable validity of fraudulent transfer claim under California law, as required to issue writ of attachment.",
