"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1040 Instrumentality in general >","Haymount Urgent Care PC v. GoFund Advance, LLC","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icb1dcb3033fb11efa8ae8c697c3b1781&rank=1&listSource=Search&list=CUSTOMDIGEST&ppcid=42f9f13dbd2f4a66b3d3030dd3506e45&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Icb1dcb3033fb11efa8ae8c697c3b1781/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=42f9f13dbd2f4a66b3d3030dd3506e45&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172080662752","United States District Court, S.D. New York.","June 26, 2024","--- F.Supp.3d ----","In Connecticut, the instrumentality test or the identity test are conducted to determine whether piercing the corporate veil is appropriate; if either test is satisfied, the corporate veil may be pierced.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Joint and several liability was justified under alter ego theory for breach of merchant cash advance agreements.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1040 Instrumentality in general >","Brightstar LLC v. Jordan","","","https://www.westlaw.com/Document/I11d4d5a0fdab11eeae49a7729fe2cdd1/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=42f9f13dbd2f4a66b3d3030dd3506e45&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F482079650029","Colorado Court of Appeals, Division I.","April 18, 2024","552 P.3d 1133","As an element of piercing the corporate veil, an alter ego relationship exists when an entity is a mere instrumentality for the transaction of an individual's own affairs and the unity of interest in ownership is such that the separate personalities of the entity and the individual no longer exist.","BUSINESS ORGANIZATIONS  Arbitration. Arbitrator did not exhibit partiality against defendants by rolling his eyes or shaking his head in response to a witness evading questions.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1040 Instrumentality in general >","Elpers Bros. Construction & Supply, Inc. v. Smith","","","https://www.westlaw.com/Document/I0336fb90d5a111ee9406b56d423b2f9f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=42f9f13dbd2f4a66b3d3030dd3506e45&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F132078806948","Court of Appeals of Indiana.","February 27, 2024","230 N.E.3d 920","Courts will not provide the protection of limited liability to an entity that is a mere instrumentality of another and engages in misconduct in the function or use of the corporate form.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Dismissal of action against homeowners' association (HOA) was warranted when only remaining claim was that HOA was alter ego of another party.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1040 Instrumentality in general >","Societe Financial, LLC v. MJ Corporation","","","https://www.westlaw.com/Document/I55219240cd0811eea701fc879df517b5/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=42f9f13dbd2f4a66b3d3030dd3506e45&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F402078692124","Supreme Court of Alaska.","February 16, 2024","542 P.3d 1159","The corporate veil may be pierced if a shareholder uses the corporate form as an ""alter ego"" or mere instrumentality.","COMMERCIAL LAW  Contracts. Alleged self-serving affidavit was sufficient to create a genuine issue of material fact that precluded summary judgment on breach of contract claim.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1040 Instrumentality in general >","Societe Financial, LLC v. MJ Corporation","","","https://www.westlaw.com/Document/I55219240cd0811eea701fc879df517b5/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=42f9f13dbd2f4a66b3d3030dd3506e45&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F422078692124","Supreme Court of Alaska.","February 16, 2024","542 P.3d 1159","Specific findings under the mere instrumentality test are needed to pierce the corporate veil.","COMMERCIAL LAW  Contracts. Alleged self-serving affidavit was sufficient to create a genuine issue of material fact that precluded summary judgment on breach of contract claim.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1040 Instrumentality in general >","Brummett v. Bailey","","","https://www.westlaw.com/Document/I57481b708ef111eea595a38e9ccae53d/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=42f9f13dbd2f4a66b3d3030dd3506e45&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92077585681","Court of Appeals of Indiana.","November 29, 2023","223 N.E.3d 1162","When a corporation is functioning as an alter ego or a mere instrumentality of an individual or another corporation, it may be appropriate to disregard the corporate form and pierce the veil.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Piercing corporate veil was not warranted to find bar's owner and former owner personally liable for alleged assault on patron.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1040 Instrumentality in general >","City of Chicago v. Equte LLC","","","https://www.westlaw.com/Document/I6db3dd3059b911eeb336d6875dfb31d7/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=42f9f13dbd2f4a66b3d3030dd3506e45&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F122076639180","United States District Court, N.D. Illinois, Eastern Division.","September 19, 2023","693 F.Supp.3d 879","Under Minnesota law, deciding whether to allow a corporate veil to be pierced requires a court to (1) analyze whether the corporation functioned as the mere instrumentality of the principals a party is attempting to reach by piercing the corporate veil, and (2) determine whether injustice or fundamental unfairness would occur if the corporate veil were left intact.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Corporations' principal could not be held personally liable for online e-cigarette sales that allegedly violated municipal code.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1040 Instrumentality in general >","Johnson v. Cricket Council USA, Inc.","","","https://www.westlaw.com/Document/I89999970439f11ee944fccefb846a1de/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=42f9f13dbd2f4a66b3d3030dd3506e45&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F192076326923","United States District Court, E.D. North Carolina, Western Division.","August 24, 2023","658 F.Supp.3d 276","In order to prevail on a request to pierce the corporate veil under North Carolina's instrumentality rule, the aggrieved party must establish three elements: (1) stockholders' control of the corporation amounts to complete domination with respect to the transaction at issue, (2) stockholders' use of this control to commit a wrong, and (3) this wrong or breach of duty must be the proximate cause of the injury.","REAL PROPERTY  Declaratory Judgment. Dispute regarding alleged breach of parties' agreement for sale of real property did not warrant declaratory relief.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1040 Instrumentality in general >","Deutsche Bank AG v. Sebastian Holdings, Inc.","","","https://www.westlaw.com/Document/Id1867940feff11eda1ebbfc20e8da73d/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=42f9f13dbd2f4a66b3d3030dd3506e45&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F72074868241","Supreme Court of Connecticut.","May 30, 2023","346 Conn. 564","In Connecticut, courts recognize two theories under which the corporate veil may be pierced, namely, the instrumentality rule and the identity rule; under either rule, veil piercing is not lightly imposed.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Equitable factors rendered harmless any error in application of Turks and Caicos law to bank's claim for piercing judgment debtor's corporate veil.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1040 Instrumentality in general >","Deutsche Bank AG v. Sebastian Holdings, Inc.","","","https://www.westlaw.com/Document/Id1867940feff11eda1ebbfc20e8da73d/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=42f9f13dbd2f4a66b3d3030dd3506e45&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82074868241","Supreme Court of Connecticut.","May 30, 2023","346 Conn. 564","The instrumentality rule, as a theory of corporate veil-piercing under Connecticut law, requires, in any case but an express agency, proof of three elements: (1) control, not mere majority or complete stock control, but complete domination, not only of finances but of policy and business practice in respect to the transaction attacked so that the corporate entity as to this transaction had at the time no separate mind, will or existence of its own; (2) that such control must have been used by the defendant to commit fraud or wrong, to perpetrate the violation of a statutory or other positive legal duty, or a dishonest or unjust act in contravention of the plaintiff's legal rights; and (3) that the aforesaid control and breach of duty must proximately cause the injury or unjust loss complained of.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Equitable factors rendered harmless any error in application of Turks and Caicos law to bank's claim for piercing judgment debtor's corporate veil.",
