"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1037 Justice and equity in general >","Midson v. Meeting House Lane Medical Practice, P.C.","","","https://www.westlaw.com/Document/I911c0e305fe111ef91788bc459416e35/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1c4e1386e64441d9af4dc0ab7b00e6b1&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F112081577008","Supreme Court, Appellate Division, Second Department, New York.","August 21, 2024","230 A.D.3d 673","Generally, piercing the corporate veil requires a showing that: (1) the owners exercised complete domination of the corporation in respect to the transaction attacked; and (2) that such domination was used to commit a fraud or wrong against the plaintiff which resulted in plaintiff's injury.","HEALTH  Malpractice. Physician who became patient's attending physician after diagnosis and beginning treatment was not liable for medical malpractice.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1037 Justice and equity in general >","FDJ, LLC v. Determan","","","https://www.westlaw.com/Document/Id6572f404ac711efa97782a6d6657baa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1c4e1386e64441d9af4dc0ab7b00e6b1&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F202080993883","Supreme Court of South Dakota.","July 24, 2024","10 N.W.3d 220","There are six factors to consider when determining whether equity demands a disregard of the corporate entity: (1) undercapitalization; (2) failure to observe corporate formalities; (3) absence of corporate records; (4) payment by the corporation of individual obligations; (5) fraudulent misrepresentation by corporate directors; and (6) use of the corporation to promote fraud, injustice or illegality.","BUSINESS ORGANIZATIONS  Limited Liability Companies. Individual members of LLC were not jointly and severally liable for LLC's breach of purchase agreement with business owner.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1037 Justice and equity in general >","Timilon Corporation v. Empowerment Justice Center Corporation","","","https://www.westlaw.com/Document/Ie882dc60392811ef9bc1a058ad8d82e2/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1c4e1386e64441d9af4dc0ab7b00e6b1&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F302080741131","United States District Court, D. Maryland.","July 2, 2024","--- F.Supp.3d ----","Under Maryland law, a party may seek to pierce the corporate veil when necessary to prevent fraud or enforce a paramount equity.","COMMERCIAL LAW  Judgment. Entry of default judgment was proper in seller's action against entities and their operators alleging failure to pay for air purifiers.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1037 Justice and equity in general >","In re Kwok","","","https://www.westlaw.com/Document/Iaf311b906cbb11ef9d828ef908a4e050/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1c4e1386e64441d9af4dc0ab7b00e6b1&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F112081681224","United States Bankruptcy Court, D. Connecticut.","June 14, 2024","--- B.R. ----","Under Delaware law, alter ego or piercing the corporate veil has two elements: (1) the corporate entity whose form is to be disregarded is so dominated and controlled by its alleged alter ego that the corporate entity and its alter ego are, in fact, a single economic unit, and (2) the corporate form to be disregarded causes fraud or some similar injustice.","BANKRUPTCY  Bankruptcy Estate. Chapter 11 bankruptcy trustee had standing to bring turnover claim on behalf of creditors at large.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1037 Justice and equity in general >","In re Kwok","","","https://www.westlaw.com/Document/Iaf311b906cbb11ef9d828ef908a4e050/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1c4e1386e64441d9af4dc0ab7b00e6b1&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F132081681224","United States Bankruptcy Court, D. Connecticut.","June 14, 2024","--- B.R. ----","Under Delaware law, when considering on a alter ego or veil piercing claim whether corporate form causes fraud or similar injustice or fraudulent intent in the creation of the corporate form – it is only necessary to establish that the corporate form causes fraud or a similar injustice.","BANKRUPTCY  Bankruptcy Estate. Chapter 11 bankruptcy trustee had standing to bring turnover claim on behalf of creditors at large.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1037 Justice and equity in general >","Murphy v. Jewell","","","https://www.westlaw.com/Document/I9ae702e0236311efa8fcd9b9081c928a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1c4e1386e64441d9af4dc0ab7b00e6b1&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F42080436540","Supreme Court, Appellate Division, Second Department, New York.","June 5, 2024","228 A.D.3d 676","While the decision whether to pierce the corporate veil in a given instance will necessarily depend on the attendant facts and equities, piercing the corporate veil generally requires a showing that: (1) the owner exercised complete domination of the corporation or limited liability corporation in respect to the transaction attacked, and (2) that such domination was used to commit a fraud or wrong against the party seeking to pierce the corporate veil which resulted in that party's injury.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Plaintiffs stated claim for piercing corporate veil against sole shareholder who allegedly wound down company following accident to be judgment proof.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1037 Justice and equity in general >","Louis Monteleone Fibres, Ltd. v. Hudson Baylor Brookhaven, LLC","","","https://www.westlaw.com/Document/Idf7b29e0236311efa8fcd9b9081c928a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1c4e1386e64441d9af4dc0ab7b00e6b1&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52080436555","Supreme Court, Appellate Division, Second Department, New York.","June 5, 2024","228 A.D.3d 641","While decision whether to pierce the corporate veil in a given instance will necessarily depend on the attendant facts and equities, generally, piercing the corporate veil requires a showing that: (1) the owners exercised complete domination of the corporation or limited liability company (LLC) in respect to the transaction attacked; and (2) that such domination was used to commit a fraud or wrong against the party seeking to pierce the corporate veil which resulted in the party's injury.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Waste-paper broker sufficiently alleged facts to support claim to pierce corporate veil of LLCs to hold its members personally liable.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1037 Justice and equity in general >","Louis Monteleone Fibres, Ltd. v. Hudson Baylor Brookhaven, LLC","","","https://www.westlaw.com/Document/Idf7b29e0236311efa8fcd9b9081c928a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1c4e1386e64441d9af4dc0ab7b00e6b1&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F72080436555","Supreme Court, Appellate Division, Second Department, New York.","June 5, 2024","228 A.D.3d 641","To pierce the corporate veil, plaintiff must adequately allege existence of corporate obligation and that defendant exercised complete domination and control over corporation and abused privilege of doing business in corporate form to perpetrate wrong or injustice.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Waste-paper broker sufficiently alleged facts to support claim to pierce corporate veil of LLCs to hold its members personally liable.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1037 Justice and equity in general >","In re DuMouchelle","","","https://www.westlaw.com/Document/I0ebba2f064de11efb4f2e14d371aea5e/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1c4e1386e64441d9af4dc0ab7b00e6b1&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92081620242","United States District Court, E.D. Michigan, Southern Division.","May 21, 2024","--- B.R. ----","Under Michigan law, piercing a corporate veil is an equitable remedy that should only be invoked in instances of fraud, illegality, or injustice.","TORTS  Fraud. Gem flipper fraudulently induced transfer of funds to his LLC through false pretenses, not larceny, and thus voidable title passed to LLC under Michigan law.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1035 Reasons and Justifications > 101k1037 Justice and equity in general >","Wells Fargo Bank, N.A. v. Stewart Homes, Inc.","","","https://www.westlaw.com/Document/Ia3062c70131011efb1298959663a2575/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=1c4e1386e64441d9af4dc0ab7b00e6b1&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F222079947227","United States District Court, C.D. California.","May 2, 2024","--- F.Supp.3d ----","Under California law, the second element of the alter ego test, namely, that plaintiff must show an inequitable result will follow if the court rejects the alter ego theory, requires facts sufficient to demonstrate that conduct amounting to bad faith makes it inequitable for the corporate owner to hide behind the corporate form.","FINANCE AND BANKING  Attachment and Garnishment. Bank demonstrated probable validity of fraudulent transfer claim under California law, as required to issue writ of attachment.",
