"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1051 In general >","Midson v. Meeting House Lane Medical Practice, P.C.","","","https://www.westlaw.com/Document/I911c0e305fe111ef91788bc459416e35/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F122081577008","Supreme Court, Appellate Division, Second Department, New York.","August 21, 2024","230 A.D.3d 673","The corporate veil will be pierced to achieve equity, even absent fraud, when a corporation has been so dominated by an individual or another corporation and its separate entity so ignored that it primarily transacts the dominator's business instead of its own and can be called the other's alter ego.","HEALTH  Malpractice. Physician who became patient's attending physician after diagnosis and beginning treatment was not liable for medical malpractice.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1051 In general >","Midson v. Meeting House Lane Medical Practice, P.C.","","","https://www.westlaw.com/Document/I911c0e305fe111ef91788bc459416e35/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F132081577008","Supreme Court, Appellate Division, Second Department, New York.","August 21, 2024","230 A.D.3d 673","In determining whether to pierce the corporate veil, generally considered are such factors as whether there is an overlap in ownership, officers, directors and personnel, inadequate capitalization, a commingling of assets, or an absence of separate paraphernalia that are part of the corporate form, such that one of the corporations is a mere instrumentality, agent and alter ego of the other.","HEALTH  Malpractice. Physician who became patient's attending physician after diagnosis and beginning treatment was not liable for medical malpractice.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1051 In general >","First v. Rolling Plains Implement Company, Incorporated","","","https://www.westlaw.com/Document/I33e796903fc411ef8b40d81fe5ef1093/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F162080835851","United States Court of Appeals, Fifth Circuit.","July 11, 2024","108 F.4th 262","Corporations are distinct legal entities, and generally one corporation will not be held responsible for acts of another.","TORTS  Limitations. General evidence was not sufficient to show that actual fraud or constructive fraud claims were barred by statute of limitations.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1051 In general >","Haymount Urgent Care PC v. GoFund Advance, LLC","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icb1dcb3033fb11efa8ae8c697c3b1781&rank=4&listSource=Search&list=CUSTOMDIGEST&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Icb1dcb3033fb11efa8ae8c697c3b1781/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F212080662752","United States District Court, S.D. New York.","June 26, 2024","--- F.Supp.3d ----","In Connecticut, under first element of instrumentality rule for piercing corporate veil, by determining whether requisite level of control has been exercised, following factors are considered: (1) absence of corporate formalities, (2) inadequate capitalization, (3) whether funds are put in and taken out of corporation for personal rather than corporate purposes, (4) overlapping ownership, officers, directors, personnel, (5) common office space, address, phones, (6) amount of business discretion by allegedly dominated corporation, (7) whether corporations dealt with each other at arm's length, (8) whether corporations are treated as independent profit centers, (9) payment or guarantee of debts of dominated corporation, and (10) whether corporation had property that was used by other corporation as if it were its own.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Joint and several liability was justified under alter ego theory for breach of merchant cash advance agreements.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1051 In general >","Wells Fargo Bank, N.A. v. Stewart Homes, Inc.","","","https://www.westlaw.com/Document/Ia3062c70131011efb1298959663a2575/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F162079947227","United States District Court, C.D. California.","May 2, 2024","--- F.Supp.3d ----","Under California law, courts consider various factors in assessing whether the separate personalities of the corporation and the individual no longer exist, including: inadequate capitalization, commingling of funds and other assets of the two entities, the holding out by one entity that it is liable for the debts of the other, identical equitable ownership in the two entities, use of the same offices and employees, use of one as a mere conduit for the affairs of the other, disregard of corporate formalities, lack of segregation of corporate records and identical directors and officers.","FINANCE AND BANKING  Attachment and Garnishment. Bank demonstrated probable validity of fraudulent transfer claim under California law, as required to issue writ of attachment.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1051 In general >","Caston v. F. Hoffmann-La Roche, Inc.","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I501cbc90f77c11ee9ef08fb8f8ac104f&rank=6&listSource=Search&list=CUSTOMDIGEST&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I501cbc90f77c11ee9ef08fb8f8ac104f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F362079545982","United States District Court, N.D. California.","April 8, 2024","--- F.Supp.3d ----","Alter ego relationship is shown where (1) two entities are so closely intertwined that their personalities blend, i.e., there is unity of interest, and (2) failure to disregard their separate identities would result in fraud or injustice.","HEALTH  Drugs. Federal law preempted state law claims against generic drug suppliers for failure to warn and misrepresentation.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1051 In general >","Caston v. F. Hoffmann-La Roche, Inc.","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I501cbc90f77c11ee9ef08fb8f8ac104f&rank=7&listSource=Search&list=CUSTOMDIGEST&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I501cbc90f77c11ee9ef08fb8f8ac104f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F372079545982","United States District Court, N.D. California.","April 8, 2024","--- F.Supp.3d ----","Factors that support a ""unity of interest"" between two entities, as required for the entities to be in an alter ego relationship, are inadequate capitalization of one entity, commingling funds, assets, and records, moving assets to one entity and liabilities to another, eschewing corporate formalities and arm's length negotiations, having common equity owners, officers, and directors, and sharing office space and employees.","HEALTH  Drugs. Federal law preempted state law claims against generic drug suppliers for failure to warn and misrepresentation.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1051 In general >","Pentacon BV v. Vanderhaegen","","","https://www.westlaw.com/Document/I1aae48b0eb4e11ee932ad7c90638f4a0/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F352079363328","United States District Court, S.D. New York.","March 25, 2024","--- F.Supp.3d ----","Under New York law, to assert alter-ego liability, a plaintiff must show that: (1) one entity exercised complete domination of another entity with respect to the transaction attacked, and (2) that such domination was used to commit a fraud or wrong against the plaintiff which resulted in the plaintiff's injury.","BUSINESS ORGANIZATIONS  Limited Liability Companies. Alleged sale of start-up after no sale period, which was planned during such period, did not violate no sale clause of share redemption agreement.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1051 In general >","Pentacon BV v. Vanderhaegen","","","https://www.westlaw.com/Document/I1aae48b0eb4e11ee932ad7c90638f4a0/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F362079363328","United States District Court, S.D. New York.","March 25, 2024","--- F.Supp.3d ----","New York courts consider the following factors to decide whether one entity exercised complete domination over another with respect to a transaction, as an element of alter-ego liability: (1) the absence of the formalities and paraphernalia that are part and parcel of the corporate existence; (2) inadequate capitalization; (3) whether funds are put in and taken out of the entity for personal rather than corporate purposes; (4) overlap in ownership, officers, directors, and personnel; (5) common office space, address and telephone numbers; (6) the amount of business discretion displayed by the dominated entity; (7) whether the related entities deal with the dominated entity at arms length; (8) whether the entities are treated as independent profit centers; (9) the payment or guarantee of debts of the dominated entity by other entities in the group; and (10) whether the entity in question had property that was used by the other entity as if it were its own.","BUSINESS ORGANIZATIONS  Limited Liability Companies. Alleged sale of start-up after no sale period, which was planned during such period, did not violate no sale clause of share redemption agreement.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1051 In general >","Bhatia v. Silvergate Bank","","","https://www.westlaw.com/Document/If6b82370e78a11eebe9fb3bd33cc2895/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=ad4d49d9dc44487098c208a493aa9bbe&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F192079317906","United States District Court, S.D. California.","March 20, 2024","--- F.Supp.3d ----","To satisfy the test for showing one corporate entity is the alter ego of another, a plaintiff must make out a prima facie case (1) that there is such unity of interest and ownership that the separate personalities of the two entities no longer exist and (2) that failure to disregard their separate identities would result in fraud or injustice.","E-COMMERCE  Fraud. Cryptocurrency exchange customers adequately alleged exchange's bank had actual knowledge of exchange's fraud, as element of aiding and abetting.",
