"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Doheny v. International Business Machines, Corp.","","","https://www.westlaw.com/Document/Ic7275680c1a611eea91dadd4e69133f5/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6f38b2ae334a491d8b4ea3f344a7131e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F552078526585","United States District Court, S.D. New York.","February 1, 2024","714 F.Supp.3d 342","In some circumstances, courts may pierce the corporate veil under an ""alter ego"" theory where a parent-subsidiary, sister, or successor-employer relationship exists.","LABOR AND EMPLOYMENT  Discrimination. Former employee alleged that employer would not have laid her off but for her age, as required to state disparate-treatment claim under ADEA.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Brummett v. Bailey","","","https://www.westlaw.com/Document/I57481b708ef111eea595a38e9ccae53d/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6f38b2ae334a491d8b4ea3f344a7131e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F122077585681","Court of Appeals of Indiana.","November 29, 2023","223 N.E.3d 1162","When a plaintiff seeks to pierce the corporate veil in order to hold one corporation liable for another closely related corporation's debt, the eight factors set forth in Aronson v. Price, 644 N.E.2d 864, are not exclusive.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Piercing corporate veil was not warranted to find bar's owner and former owner personally liable for alleged assault on patron.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Liberty Aviation Museum, Inc. v. JRM Marine Consulting, LLC","","","https://www.westlaw.com/Document/Ie08cd43043c811ee8da8fd896f6ea43a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6f38b2ae334a491d8b4ea3f344a7131e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F42076328664","Court of Appeals of Ohio, Sixth District, Ottawa County.","August 25, 2023","223 N.E.3d 881","A plaintiff cannot pierce the corporate veil of one corporation to reach its sister corporation.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Piercing contractor's corporate veil to reach the assets of owner's father who took control after owner suffered a stroke was not warranted.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","UMB Bank, N.A. v. Eagle Crest Apartments, LLC","","","https://www.westlaw.com/Document/Ib45a91108d1411edbc0c91516a7b4630/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6f38b2ae334a491d8b4ea3f344a7131e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172070855643","Supreme Court of North Dakota.","January 5, 2023","984 N.W.2d 360","Various names have been used to describe theories that allow companies sharing common ownership to be responsible for each other's liability under veil piercing principles, including ""single-entity liability,"" ""enterprise liability,"" and ""horizontal liability,"" and some jurisdictions conceptualize the idea as ""triangular piercing""; liability flows up from the debtor entity to the common owner under traditional veil piercing principles and then, under ""reverse piercing"" principles, the common owner's liability flows down and is shared horizontally across the separate entities, creating the shape of a triangle.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Court appropriately pierced the corporate veil to find individual's numerous separate entities liable for deficiency judgment.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Cyprus Amax Minerals Company v. TCI Pacific Communications, LLC","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I2f006d309e4211ecb7ceee74f6b36648&rank=5&listSource=Search&list=CUSTOMDIGEST&ppcid=6f38b2ae334a491d8b4ea3f344a7131e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I2f006d309e4211ecb7ceee74f6b36648/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6f38b2ae334a491d8b4ea3f344a7131e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F142055692177","United States Court of Appeals, Tenth Circuit.","March 7, 2022","28 F.4th 996","Under Kansas law, purposeful undercapitalization to avoid a potential judgment is the principal injustice that might lead a court to disregard the separateness of affiliated entities.","ENVIRONMENTAL LAW  CERCLA. Company was liable for contribution under CERCLA based on operation of zinc smelter by subsidiary of company's predecessor.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Lowery v. Noodle Life, Inc.","","","https://www.westlaw.com/Document/I80faa9c08ea211ec9381ff4a09a81529/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6f38b2ae334a491d8b4ea3f344a7131e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F42055574296","Court of Appeals of Georgia.","February 15, 2022","363 Ga.App. 1","Evidence sufficient to establish one relationship between corporate parties may not be sufficient to establish another; likewise, business relationships and interdependency of one corporation and another, alone, are insufficient to establish liability under alter ego, joint venture, and agency theories.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Owner of restaurant with same name as restaurant that served customer a package of hot soup that burned her was not liable under the alter ego doctrine.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Lowery v. Noodle Life, Inc.","","","https://www.westlaw.com/Document/I80faa9c08ea211ec9381ff4a09a81529/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6f38b2ae334a491d8b4ea3f344a7131e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82055574296","Court of Appeals of Georgia.","February 15, 2022","363 Ga.App. 1","When the elements of the doctrine are satisfied, the doctrine of piercing the corporate veil can be used to hold a family of corporations liable for the debts of each other.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Owner of restaurant with same name as restaurant that served customer a package of hot soup that burned her was not liable under the alter ego doctrine.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Micro Fines Recycling Owego LLC v. Ferrex Engineering, Ltd.","","","https://www.westlaw.com/Document/I0ce350f08b1911ec835a9ef9fd6dc02f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6f38b2ae334a491d8b4ea3f344a7131e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92055550498","United States District Court, N.D. New York.","February 9, 2022","585 F.Supp.3d 289","Under New York law, the factors that may be relevant to a finding of complete domination over a corporation that supports piercing the corporate veil include: the amount of business discretion displayed by the allegedly dominated corporation; whether the related corporations deal with the dominated corporation at arms length; whether the corporations are treated as independent profit centers; the payment or guarantee of debts of the dominated corporation by other corporations in the group; whether the corporation in question had property that was used by other of the corporations as if it were its own; and other factors.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Buyer's injury was not caused by shareholder's threat to use its security interest to render corporation judgment-proof, precluding veil-piercing.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Smith v. A.O. Smith Corporation","","","https://www.westlaw.com/Document/I20d86ed07edd11eca74eff61e1b473bc/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6f38b2ae334a491d8b4ea3f344a7131e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172055449831","Superior Court of Pennsylvania.","January 26, 2022","270 A.3d 1185","The distribution of related businesses across multiple corporate entities to secure liability protection and legal advantage is not by itself cause for piercing the corporate veil; instead, veil-piercing cases typically involve truly egregious misconduct where the corporate form is abused to such a degree that adherence to the corporate fiction under the circumstances would sanction fraud or promote injustice.","BUSINESS ORGANIZATIONS  Evidence. Former testimony hearsay exception was not applicable to testimony in prior litigation of former owner of company that was purchased by corporation.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Blackwell v. Superior Safe Rooms LLC","","","https://www.westlaw.com/Document/I2fdedc60df7e11eba48ad8c74eab983c/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=6f38b2ae334a491d8b4ea3f344a7131e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F162053969043","Court of Appeals of Indiana.","July 7, 2021","174 N.E.3d 1082","When a plaintiff seeks to pierce the corporate veil in order to hold one corporation liable for another closely related corporation's debt, the eight factors enumerated in Aronson v. Price, 644 N.E.2d 864, are not exclusive.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Judgment debtor's corporate form was so ignored, controlled, or manipulated that it was merely the instrumentality of garnishee defendants.",
