"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1054 Single business enterprise >","Doheny v. International Business Machines, Corp.","","","https://www.westlaw.com/Document/Ic7275680c1a611eea91dadd4e69133f5/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=33b6ca5346f54753b68a22cb861cc374&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F682078526585","United States District Court, S.D. New York.","February 1, 2024","714 F.Supp.3d 342","To prevail on an alter-ego claim under Delaware law, a plaintiff must show (1) that the parent and the subsidiary operated as a single economic entity and (2) that an overall element of injustice or unfairness is present.","LABOR AND EMPLOYMENT  Discrimination. Former employee alleged that employer would not have laid her off but for her age, as required to state disparate-treatment claim under ADEA.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1054 Single business enterprise >","Doheny v. International Business Machines, Corp.","","","https://www.westlaw.com/Document/Ic7275680c1a611eea91dadd4e69133f5/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=33b6ca5346f54753b68a22cb861cc374&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F692078526585","United States District Court, S.D. New York.","February 1, 2024","714 F.Supp.3d 342","Under Delaware law governing alter-ego claims, among the factors indicative of whether two corporations operate as a single economic entity are whether the corporation was adequately capitalized for the corporate undertaking; whether the corporation was solvent; whether dividends were paid, corporate records kept, officers and directors functioned properly, and other corporate formalities were observed; whether the dominant shareholder siphoned corporate funds; and whether, in general, the corporation simply functioned as a facade for the dominant shareholder.","LABOR AND EMPLOYMENT  Discrimination. Former employee alleged that employer would not have laid her off but for her age, as required to state disparate-treatment claim under ADEA.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1054 Single business enterprise >","Washington v. Jay Street Development Corp.","","","https://www.westlaw.com/Document/I0bf258c0d3d511eda3d0ad30bbb925c7/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=33b6ca5346f54753b68a22cb861cc374&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F112073814959","Supreme Court, Appellate Division, Second Department, New York.","April 5, 2023","215 A.D.3d 717","To establish that two entities are alter egos of each other, one must demonstrate that one of the entities controls the other or that the two operate as a single integrated entity.","REAL PROPERTY  Landlord and Tenant. Building owner was not liable for plaintiff's accident in lobby since it was an out-of-possession landlord that had no duty to maintain the premises.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1054 Single business enterprise >","Riad v. Porsche Cars North America, Inc.","","","https://www.westlaw.com/Document/Id3960630b6af11edb0cec6d6b8536593/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=33b6ca5346f54753b68a22cb861cc374&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F142073280303","United States District Court, E.D. Pennsylvania.","February 24, 2023","657 F.Supp.3d 695","Proving that a corporation is merely an alter ego is a burden that is notoriously difficult for plaintiffs to meet; in order to succeed on an alter ego theory of liability, plaintiffs must essentially demonstrate that in all aspects of the business, the two corporations actually functioned as a single entity and should be treated as such.","PRODUCTS LIABILITY  Jurisdiction. Specific personal jurisdiction did not exist over automobile manufacturer, in action related to injuries owner suffered due to defect with used car.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1054 Single business enterprise >","AHBP LLC v. Lynd Company","","","https://www.westlaw.com/Document/Ifd5c2fc0910311edadcea43b34588ab1/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=33b6ca5346f54753b68a22cb861cc374&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F112070876842","United States District Court, W.D. Texas, San Antonio Division.","January 9, 2023","649 F.Supp.3d 371","Under Texas law, parties are not jointly liable for a corporation's obligations merely because they were part of a single business enterprise, that is, merely because of centralized control, mutual purposes, and shared finances; rather, disregarding the corporate structure involves two considerations: (1) the relationship between the two entities and (2) whether the entities' use of limited liability was illegitimate.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Exclusive licensee adequately alleged that licensor was founding company's alter ego so that corporate veil could be pierced for contract claims.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1054 Single business enterprise >","Hill International, Inc. v. JTS Realty Corporation","","","https://www.westlaw.com/Document/I76cd7850096811eea0fbd6e62288d3fa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=33b6ca5346f54753b68a22cb861cc374&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F102075228270","Court of Appeal of Louisiana, First Circuit.","October 20, 2022","370 So.3d 16","New Jersey law does not recognize the single business enterprise doctrine.","BUSINESS ORGANIZATIONS  Joint Ventures. Sufficient evidence supported trial court's finding that real estate corporation was operating in single business enterprise with property developer.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1054 Single business enterprise >","Hill International, Inc. v. JTS Realty Corporation","","","https://www.westlaw.com/Document/I76cd7850096811eea0fbd6e62288d3fa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=33b6ca5346f54753b68a22cb861cc374&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F202075228270","Court of Appeal of Louisiana, First Circuit.","October 20, 2022","370 So.3d 16","The single business enterprise theory of liability is distinguishable from the alter ego theory in several ways, and the most important distinction is who may be held liable under each theory.","BUSINESS ORGANIZATIONS  Joint Ventures. Sufficient evidence supported trial court's finding that real estate corporation was operating in single business enterprise with property developer.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1054 Single business enterprise >","Hill International, Inc. v. JTS Realty Corporation","","","https://www.westlaw.com/Document/I76cd7850096811eea0fbd6e62288d3fa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=33b6ca5346f54753b68a22cb861cc374&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F212075228270","Court of Appeal of Louisiana, First Circuit.","October 20, 2022","370 So.3d 16","As opposed to alter ego doctrine, which pierces the corporate veil to reach the members of a limited liability company (LLC), the single business enterprise doctrine is a theory for imposing liability on two or more business entities when they act as one.","BUSINESS ORGANIZATIONS  Joint Ventures. Sufficient evidence supported trial court's finding that real estate corporation was operating in single business enterprise with property developer.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1054 Single business enterprise >","Hill International, Inc. v. JTS Realty Corporation","","","https://www.westlaw.com/Document/I76cd7850096811eea0fbd6e62288d3fa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=33b6ca5346f54753b68a22cb861cc374&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F222075228270","Court of Appeal of Louisiana, First Circuit.","October 20, 2022","370 So.3d 16","Under the single business enterprise theory, the legal fiction of a distinct corporate entity is disregarded when a corporation is so organized and controlled as to make it merely an instrumentality or adjunct of another corporation.","BUSINESS ORGANIZATIONS  Joint Ventures. Sufficient evidence supported trial court's finding that real estate corporation was operating in single business enterprise with property developer.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1054 Single business enterprise >","Hill International, Inc. v. JTS Realty Corporation","","","https://www.westlaw.com/Document/I76cd7850096811eea0fbd6e62288d3fa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=33b6ca5346f54753b68a22cb861cc374&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F232075228270","Court of Appeal of Louisiana, First Circuit.","October 20, 2022","370 So.3d 16","When a group of entities constitutes a single business enterprise, the assets of each of the affiliated corporations are pooled together to satisfy the claims of creditors.","BUSINESS ORGANIZATIONS  Joint Ventures. Sufficient evidence supported trial court's finding that real estate corporation was operating in single business enterprise with property developer.",
