"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1042 Factors Considered > 101k1043 In general >","FDJ, LLC v. Determan","","","https://www.westlaw.com/Document/Id6572f404ac711efa97782a6d6657baa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=7ffc658ce8924a3bb0f92a6fa0d8c4fa&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F202080993883","Supreme Court of South Dakota.","July 24, 2024","10 N.W.3d 220","There are six factors to consider when determining whether equity demands a disregard of the corporate entity: (1) undercapitalization; (2) failure to observe corporate formalities; (3) absence of corporate records; (4) payment by the corporation of individual obligations; (5) fraudulent misrepresentation by corporate directors; and (6) use of the corporation to promote fraud, injustice or illegality.","BUSINESS ORGANIZATIONS  Limited Liability Companies. Individual members of LLC were not jointly and severally liable for LLC's breach of purchase agreement with business owner.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1042 Factors Considered > 101k1043 In general >","In re Kwok","","","https://www.westlaw.com/Document/Iaf311b906cbb11ef9d828ef908a4e050/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=7ffc658ce8924a3bb0f92a6fa0d8c4fa&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F122081681224","United States Bankruptcy Court, D. Connecticut.","June 14, 2024","--- B.R. ----","Under Delaware law, several factors are considered when considering whether alleged alter ego asserts dominion and control over corporate entity, including (1) whether company was adequately capitalized for undertaking, (2) whether company was solvent, (3) whether corporate formalities were observed, (4) whether dominant shareholder siphoned company funds, and (5) whether, in general, company simply functioned as facade for dominant shareholder; none of these factors is dispositive in determining dominion and control.","BANKRUPTCY  Bankruptcy Estate. Chapter 11 bankruptcy trustee had standing to bring turnover claim on behalf of creditors at large.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1042 Factors Considered > 101k1043 In general >","In re Kwok","","","https://www.westlaw.com/Document/Iaf311b906cbb11ef9d828ef908a4e050/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=7ffc658ce8924a3bb0f92a6fa0d8c4fa&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F152081681224","United States Bankruptcy Court, D. Connecticut.","June 14, 2024","--- B.R. ----","In considering whether to reverse pierce corporate veil, courts consider traditional factors Delaware courts consider when reviewing traditional veil-piercing claim, as well as additional factors reflecting concern that creditors and other stakeholders of entity might have their legitimate expectations thwarted.","BANKRUPTCY  Bankruptcy Estate. Chapter 11 bankruptcy trustee had standing to bring turnover claim on behalf of creditors at large.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1042 Factors Considered > 101k1043 In general >","Louis Monteleone Fibres, Ltd. v. Hudson Baylor Brookhaven, LLC","","","https://www.westlaw.com/Document/Idf7b29e0236311efa8fcd9b9081c928a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=7ffc658ce8924a3bb0f92a6fa0d8c4fa&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82080436555","Supreme Court, Appellate Division, Second Department, New York.","June 5, 2024","228 A.D.3d 641","Factors to be considered in determining whether individual has abused privilege of doing business in corporate or limited liability company (LLC) form to pierce the corporate veil include failure to adhere to corporate or LLC formalities, inadequate capitalization, commingling of assets, and personal use of corporate or LLC funds.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Waste-paper broker sufficiently alleged facts to support claim to pierce corporate veil of LLCs to hold its members personally liable.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1042 Factors Considered > 101k1043 In general >","Wells Fargo Bank, N.A. v. Stewart Homes, Inc.","","","https://www.westlaw.com/Document/Ia3062c70131011efb1298959663a2575/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=7ffc658ce8924a3bb0f92a6fa0d8c4fa&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172079947227","United States District Court, C.D. California.","May 2, 2024","--- F.Supp.3d ----","Under California law, no single factor is determinative in determining whether a party is the alter ego of a corporation, and instead a court must examine all the circumstances to determine whether to apply the alter ego doctrine.","FINANCE AND BANKING  Attachment and Garnishment. Bank demonstrated probable validity of fraudulent transfer claim under California law, as required to issue writ of attachment.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1042 Factors Considered > 101k1043 In general >","Brightstar LLC v. Jordan","","","https://www.westlaw.com/Document/I11d4d5a0fdab11eeae49a7729fe2cdd1/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=7ffc658ce8924a3bb0f92a6fa0d8c4fa&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F492079650029","Colorado Court of Appeals, Division I.","April 18, 2024","552 P.3d 1133","The alter ego element of a piercing-the-corporate-veil analysis entails consideration of several factors, including whether (1) the entity is operated as a distinct business entity; (2) funds and assets are commingled; (3) adequate business records are maintained; (4) the nature and form of the entity's ownership and control facilitate misuse by an insider; (5) the entity is used as a ""mere shell""; (6) the entity is thinly capitalized; (7) legal formalities are disregarded; and (8) the entity's funds or assets are used for non-business purposes.","BUSINESS ORGANIZATIONS  Arbitration. Arbitrator did not exhibit partiality against defendants by rolling his eyes or shaking his head in response to a witness evading questions.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1042 Factors Considered > 101k1043 In general >","Ene v. Graham","","","https://www.westlaw.com/Document/Ia67c6f80fe6c11eeb374a824d5f42bb4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=7ffc658ce8924a3bb0f92a6fa0d8c4fa&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92079662863","Supreme Court of Nevada.","April 18, 2024","546 P.3d 1232","The following factors, though not conclusive, may indicate the existence of an alter ego relationship: (1) commingling of funds; (2) under-capitalization; (3) unauthorized diversion of funds; (4) treatment of corporate assets as the individual's own; and (5) failure to observe corporate formalities.","BUSINESS ORGANIZATIONS  Limited Liability Companies. Evidence that LLC's single member occasionally used LLC's property for personal enjoyment did not support alter ego determination.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1042 Factors Considered > 101k1043 In general >","New Hackensack Realty, LLC v. Lawrence Development Realty, LLC","","","https://www.westlaw.com/Document/I84b35af0f75d11eebbf7a6e90f97242c/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=7ffc658ce8924a3bb0f92a6fa0d8c4fa&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F192079545501","Supreme Court, Appellate Division, Second Department, New York.","April 10, 2024","226 A.D.3d 799","Factors which a court considers in determining whether the owner of a corporation has abused the privilege of doing business in the corporate form, as required to pierce the corporate veil, include whether there was a failure to adhere to corporate formalities, inadequate capitalization, commingling of assets, and use of corporate funds for personal use.","REAL PROPERTY  Fraudulent Conveyances. Purchasers of commercial property could not maintain claim against seller for unjust enrichment where there was valid contract between parties covering dispute.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1042 Factors Considered > 101k1043 In general >","Sikousis Legacy, Inc. v. B-Gas Limited","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I91ae4a00eadb11eeb6d79c02d0a5a529&rank=9&listSource=Search&list=CUSTOMDIGEST&ppcid=7ffc658ce8924a3bb0f92a6fa0d8c4fa&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I91ae4a00eadb11eeb6d79c02d0a5a529/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=7ffc658ce8924a3bb0f92a6fa0d8c4fa&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F122079351565","United States Court of Appeals, Ninth Circuit.","March 25, 2024","97 F.4th 622","To pierce corporate veil, party must show that (1) controlling corporate entity exercises total domination of subservient corporation, to extent that subservient corporation manifests no separate corporate interests of its own, (2) injustice will result from recognizing subservient entity as separate entity, and (3) controlling entity had fraudulent intent or intent to circumvent statutory or contractual obligations.","MARITIME LAW  Attachment. Probable cause to believe that plaintiff would prevail on merits of its attachment claim applied to determine whether to continue attachment.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1042 Factors Considered > 101k1043 In general >","Sikousis Legacy, Inc. v. B-Gas Limited","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I91ae4a00eadb11eeb6d79c02d0a5a529&rank=10&listSource=Search&list=CUSTOMDIGEST&ppcid=7ffc658ce8924a3bb0f92a6fa0d8c4fa&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I91ae4a00eadb11eeb6d79c02d0a5a529/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=6e8d0b7d40a5a04d1fdf39cf7363c40043029db1012b019bef0041712e9c2cde&ppcid=7ffc658ce8924a3bb0f92a6fa0d8c4fa&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F132079351565","United States Court of Appeals, Ninth Circuit.","March 25, 2024","97 F.4th 622","In determining whether to pierce corporate veil, courts must look to totality of record and circumstances to determine whether domination, injustice, and ill intent are satisfied.","MARITIME LAW  Attachment. Probable cause to believe that plaintiff would prevail on merits of its attachment claim applied to determine whether to continue attachment.",
