"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Doheny v. International Business Machines, Corp.","","","https://www.westlaw.com/Document/Ic7275680c1a611eea91dadd4e69133f5/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=5897251bb326419bacf4e2d0e715fe96&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F552078526585","United States District Court, S.D. New York.","February 1, 2024","--- F.Supp.3d ----","In some circumstances, courts may pierce the corporate veil under an ""alter ego"" theory where a parent-subsidiary, sister, or successor-employer relationship exists.","LABOR AND EMPLOYMENT  Discrimination. Former employee alleged that employer would not have laid her off but for her age, as required to state disparate-treatment claim under ADEA.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Brummett v. Bailey","","","https://www.westlaw.com/Document/I57481b708ef111eea595a38e9ccae53d/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=5897251bb326419bacf4e2d0e715fe96&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F122077585681","Court of Appeals of Indiana.","November 29, 2023","223 N.E.3d 1162","When a plaintiff seeks to pierce the corporate veil in order to hold one corporation liable for another closely related corporation's debt, the eight factors set forth in Aronson v. Price, 644 N.E.2d 864, are not exclusive.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Piercing corporate veil was not warranted to find bar's owner and former owner personally liable for alleged assault on patron.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Cyprus Amax Minerals Company v. TCI Pacific Communications, LLC","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I2f006d309e4211ecb7ceee74f6b36648&rank=3&listSource=Search&list=CUSTOMDIGEST&ppcid=5897251bb326419bacf4e2d0e715fe96&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I2f006d309e4211ecb7ceee74f6b36648/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=5897251bb326419bacf4e2d0e715fe96&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F142055692177","United States Court of Appeals, Tenth Circuit.","March 7, 2022","28 F.4th 996","Under Kansas law, purposeful undercapitalization to avoid a potential judgment is the principal injustice that might lead a court to disregard the separateness of affiliated entities.","ENVIRONMENTAL LAW  CERCLA. Company was liable for contribution under CERCLA based on operation of zinc smelter by subsidiary of company's predecessor.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Lowery v. Noodle Life, Inc.","","","https://www.westlaw.com/Document/I80faa9c08ea211ec9381ff4a09a81529/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=5897251bb326419bacf4e2d0e715fe96&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82055574296","Court of Appeals of Georgia.","February 15, 2022","363 Ga.App. 1","When the elements of the doctrine are satisfied, the doctrine of piercing the corporate veil can be used to hold a family of corporations liable for the debts of each other.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Owner of restaurant with same name as restaurant that served customer a package of hot soup that burned her was not liable under the...",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Micro Fines Recycling Owego LLC v. Ferrex Engineering, Ltd.","","","https://www.westlaw.com/Document/I0ce350f08b1911ec835a9ef9fd6dc02f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=5897251bb326419bacf4e2d0e715fe96&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92055550498","United States District Court, N.D. New York.","February 9, 2022","585 F.Supp.3d 289","Under New York law, the factors that may be relevant to a finding of complete domination over a corporation that supports piercing the corporate veil include: the amount of business discretion displayed by the allegedly dominated corporation; whether the related corporations deal with the dominated corporation at arms length; whether the corporations are treated as independent profit centers; the payment or guarantee of debts of the dominated corporation by other corporations in the group; whether the corporation in question had property that was used by other of the corporations as if it were its own; and other factors.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Buyer's injury was not caused by shareholder's threat to use its security interest to render corporation judgment-proof, precluding...",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Smith v. A.O. Smith Corporation","","","https://www.westlaw.com/Document/I20d86ed07edd11eca74eff61e1b473bc/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=5897251bb326419bacf4e2d0e715fe96&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172055449831","Superior Court of Pennsylvania.","January 26, 2022","270 A.3d 1185","The distribution of related businesses across multiple corporate entities to secure liability protection and legal advantage is not by itself cause for piercing the corporate veil; instead, veil-piercing cases typically involve truly egregious misconduct where the corporate form is abused to such a degree that adherence to the corporate fiction under the circumstances would sanction fraud or promote injustice.","BUSINESS ORGANIZATIONS  Evidence. Former testimony hearsay exception was not applicable to testimony in prior litigation of former owner of company that was purchased by corporation.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Blackwell v. Superior Safe Rooms LLC","","","https://www.westlaw.com/Document/I2fdedc60df7e11eba48ad8c74eab983c/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=5897251bb326419bacf4e2d0e715fe96&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F162053969043","Court of Appeals of Indiana.","July 7, 2021","174 N.E.3d 1082","When a plaintiff seeks to pierce the corporate veil in order to hold one corporation liable for another closely related corporation's debt, the eight factors enumerated in Aronson v. Price, 644 N.E.2d 864, are not exclusive.","BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Judgment debtor's corporate form was so ignored, controlled, or manipulated that it was merely the instrumentality of garnishee...",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","Soter Technologies, LLC v. IP Video Corporation","","","https://www.westlaw.com/Document/I8ffcf660785711eb91b78705c7189b3d/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=5897251bb326419bacf4e2d0e715fe96&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F242053137111","United States District Court, S.D. New York.","February 26, 2021","523 F.Supp.3d 389","Under New York law, to determine whether first requirement for alter ego liability, domination, has been met, following equitable factors are considered: (1) absence of formalities and paraphernalia that are part and parcel of corporate existence, i.e., issuance of stock, election of directors, keeping of corporate records and the like, (2) inadequate capitalization, (3) whether funds are put in and taken out of corporation for personal rather than corporate purposes, (4) overlap in ownership, officers, directors, and personnel, (5) common office space, address and telephone numbers of corporate entities, (6) amount of business discretion displayed by allegedly dominated corporation, (7) whether related corporations deal with dominated corporation at arm's length, (8) whether corporations are treated as independent profit centers, (9) payment or guarantee of debts of dominated corporation by other corporations in group, and (10) whether corporation in question had property that was used by other of the corporations as if it were its own.","TRADEMARKS  Internet. Trademark holder sufficiently alleged that use of domain name to redirect traffic to competitor's website constituted use in commerce of mark.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","In re Royal Alice Properties, LLC","","","https://www.westlaw.com/Document/I34912910ec8711ea9a92c9d83e55f5f9/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=5897251bb326419bacf4e2d0e715fe96&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F222051763814","United States Bankruptcy Court, E.D. Louisiana.","August 28, 2020","619 B.R. 839","Creditor could not state a plausible alter ego claim to hold debtor liable under Louisiana law for the acts and/or omissions of related corporate entity, absent an allegation that debtor was shareholder of this related entity.","BANKRUPTCY  Business Relationships. Common ownership and commingling of funds supported single business enterprise claim against debtor.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1052 Related corporations in general >","TMX Finance, LLC v. Goldsmith","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ia4bafc80d5b711e9a803cc27e5772c47&rank=10&listSource=Search&list=CUSTOMDIGEST&ppcid=5897251bb326419bacf4e2d0e715fe96&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Ia4bafc80d5b711e9a803cc27e5772c47/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=5897251bb326419bacf4e2d0e715fe96&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F292049171004","Court of Appeals of Georgia.","September 12, 2019","352 Ga.App. 190","The doctrine of piercing the corporate veil is generally used for the purpose of piercing the corporate veil to hold an individual stockholder liable for debts incurred by the corporation; however, when the elements of the doctrine are satisfied, the doctrine can be used to hold a parent company liable for debts incurred by its wholly owned subsidiary, or to hold a family of corporations liable for the debts of each other.","BUSINESS ORGANIZATIONS  Limited Liability Companies. Ousted LLC owners could bring direct action against line-of-credit guarantor and his businesses and were not limited to...",
