"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1053 Parent and subsidiary corporations in general >","Salyers v. A.J. Blosenski, Inc.","","","https://www.westlaw.com/Document/Ie1dbd670030711ef80318ebadff26ffd/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=75e234c9ca4e498faf44fa2b38f6daa2&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F342079728933","United States District Court, E.D. Pennsylvania.","April 24, 2024","--- F.Supp.3d ----","Customer of trash and recycling hauler failed to assert any allegations specifically against parent company responsible for overseeing hauler's operations in the United States that could have allowed court to draw reasonable inference that parent company was liable for misconduct alleged, and thus customer, who brought putative class action, failed to state claims against parent company for fraud, negligent misrepresentation, and violation of Pennsylvania's Unfair Trade Practices and Consumer Protection Law (UTPCPL); only allegations directed at parent company specifically related to its corporate citizenship and relationship to hauler. <a href=""/Link/Document/FullText?findType=L&pubNum=1000262&cite=PS73S201-1&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=75e234c9ca4e498faf44fa2b38f6daa2"">73 Pa. Stat. Ann. § 201-1 et seq.</a>","LITIGATION  Jurisdiction. Customer of trash hauler failed to allege that hauler's parent corporation had sufficient contacts with forum for specific-jurisdiction purposes.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1053 Parent and subsidiary corporations in general >","Ovation Finance Holdings 5 LLC v. G.E.T. Marketing, LLC","","","https://www.westlaw.com/Document/I88268850fbf511eea92098a0b06ea0dc/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=75e234c9ca4e498faf44fa2b38f6daa2&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F42079613756","Court of Appeals of Texas, Amarillo.","April 15, 2024","690 S.W.3d 396","A subsidiary corporation and its parent corporation are separate and distinct persons as a matter of law; unless the corporate veil is used as a sham, it matters not that the parent dominates or controls the subsidiary or otherwise treats it as its instrumentality or agency.","BUSINESS ORGANIZATIONS  Limited Liability Companies. Limited liability companies (LLCs) with which insolvent member commercially interacted were not subject to receivership as...",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1053 Parent and subsidiary corporations in general >","Franks v. Coopersurgical, Inc.","","","https://www.westlaw.com/Document/I506a1730e25d11eeb2c3b6044a269b45/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=75e234c9ca4e498faf44fa2b38f6daa2&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F412079240458","United States District Court, D. Rhode Island.","March 14, 2024","--- F.Supp.3d ----","Under Rhode Island law, in order to pierce the corporate veil, evidence must demonstrate that the parent company dominated the subsidiary's finances, policies, and practices to such an extent that it suggests that the subsidiary is organized, controlled, and operated as merely an instrumentality, agency, conduit, or adjunct of the parent.","PRODUCTS LIABILITY  Preemption. Patient's products liability claim on theory of design defect was preempted by Medical Device Amendments of Federal Food, Drug, and Cosmetic Act.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1053 Parent and subsidiary corporations in general >","Franks v. Coopersurgical, Inc.","","","https://www.westlaw.com/Document/I506a1730e25d11eeb2c3b6044a269b45/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=75e234c9ca4e498faf44fa2b38f6daa2&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F422079240458","United States District Court, D. Rhode Island.","March 14, 2024","--- F.Supp.3d ----","Under Rhode Island law, in order to pierce the corporate veil, clear evidence must show that the parent company is using the subsidiary to defeat public conveniences, justify wrong, protect fraud, or defend crime; this does not include the mere ownership of local corporate entities and the sharing of officers.","PRODUCTS LIABILITY  Preemption. Patient's products liability claim on theory of design defect was preempted by Medical Device Amendments of Federal Food, Drug, and Cosmetic Act.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1053 Parent and subsidiary corporations in general >","Doheny v. International Business Machines, Corp.","","","https://www.westlaw.com/Document/Ic7275680c1a611eea91dadd4e69133f5/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=75e234c9ca4e498faf44fa2b38f6daa2&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F552078526585","United States District Court, S.D. New York.","February 1, 2024","--- F.Supp.3d ----","In some circumstances, courts may pierce the corporate veil under an ""alter ego"" theory where a parent-subsidiary, sister, or successor-employer relationship exists.","LABOR AND EMPLOYMENT  Discrimination. Former employee alleged that employer would not have laid her off but for her age, as required to state disparate-treatment claim under ADEA.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1053 Parent and subsidiary corporations in general >","Doheny v. International Business Machines, Corp.","","","https://www.westlaw.com/Document/Ic7275680c1a611eea91dadd4e69133f5/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=75e234c9ca4e498faf44fa2b38f6daa2&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F682078526585","United States District Court, S.D. New York.","February 1, 2024","--- F.Supp.3d ----","To prevail on an alter-ego claim under Delaware law, a plaintiff must show (1) that the parent and the subsidiary operated as a single economic entity and (2) that an overall element of injustice or unfairness is present.","LABOR AND EMPLOYMENT  Discrimination. Former employee alleged that employer would not have laid her off but for her age, as required to state disparate-treatment claim under ADEA.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1053 Parent and subsidiary corporations in general >","Magee v. Florida Marine, LLC","","","https://www.westlaw.com/Document/I387809d0b50c11eebd0aa188c43ad821/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=75e234c9ca4e498faf44fa2b38f6daa2&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172078338236","United States District Court, E.D. Louisiana.","January 16, 2024","711 F.Supp.3d 614","Nonresident parent corporation was not alter ego of its subsidiaries for purposes of attributing subsidiaries' jurisdictional contacts to parent corporation, in deckhand's action seeking damages for injuries sustained when he fell into river while unloading material from vessel by transversing barge and dock, though parent corporation indirectly owned 100% of one subsidiary's stock, and directly owned 100% of other subsidiary's stock, entities shared same officers and directors, and parent had control over subsidiaries' general policies; parent corporation and subsidiaries did not share headquarters, parent and subsidiaries each observed corporate formalities, entities employed separate accounting systems, and subsidiaries controlled their own daily operations. La. Rev. Stat. Ann. § <a href=""/Link/Document/FullText?findType=L&pubNum=1000011&cite=LARS13%3A3201&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=75e234c9ca4e498faf44fa2b38f6daa2"">13:3201(B)</a>.","MARITIME LAW  Jurisdiction. Nonresident parent corporation was not alter ego of its subsidiaries for purposes of attributing subsidiaries jurisdictional contacts to parent.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1053 Parent and subsidiary corporations in general >","Mattingly v. R.J. Corman Railroad Group, LLC","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ie1194f30aa7211ee8c729ff8b62562ff&rank=8&listSource=Search&list=CUSTOMDIGEST&ppcid=75e234c9ca4e498faf44fa2b38f6daa2&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Ie1194f30aa7211ee8c729ff8b62562ff/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=75e234c9ca4e498faf44fa2b38f6daa2&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52077954226","United States Court of Appeals, Sixth Circuit.","January 3, 2024","90 F.4th 478","Under Kentucky law, separate corporate interests, including subsidiaries and affiliates, are separate legal entities and must be recognized and treated as such unless there is some reason to pierce corporate veil, and such reasons are found only in rarest of circumstances.","LABOR AND EMPLOYMENT  Transportation Workers. Holding company's ownership and control over railroad services company and common carrier subsidiaries did not make services company...",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1053 Parent and subsidiary corporations in general >","Mattingly v. R.J. Corman Railroad Group, LLC","Blue KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ie1194f30aa7211ee8c729ff8b62562ff&rank=9&listSource=Search&list=CUSTOMDIGEST&ppcid=75e234c9ca4e498faf44fa2b38f6daa2&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Ie1194f30aa7211ee8c729ff8b62562ff/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=75e234c9ca4e498faf44fa2b38f6daa2&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F72077954226","United States Court of Appeals, Sixth Circuit.","January 3, 2024","90 F.4th 478","Under Kentucky law, in determining whether subsidiary corporation has been dominated by its parent to point of losing corporate separateness, for purposes of piercing corporate veil, factors that court may consider include grossly inadequate capitalization, egregious failure to observe legal formalities and disregard of distinctions between parent and subsidiary, and high degree of control by parent over subsidiary's operations and decisions, particularly those of day-to-day nature.","LABOR AND EMPLOYMENT  Transportation Workers. Holding company's ownership and control over railroad services company and common carrier subsidiaries did not make services company...",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1050 Separate Corporations;  Disregarding Separate Entities > 101k1053 Parent and subsidiary corporations in general >","Coast-to-Coast Produce, LLC v. Lakeside Produce USA, Inc.","","","https://www.westlaw.com/Document/I2fda27f0a6e211ee996f8f95168d10d3/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=75e234c9ca4e498faf44fa2b38f6daa2&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F662077924730","United States District Court, E.D. Michigan, Southern Division.","December 29, 2023","709 F.Supp.3d 413","Under Canadian law, generally, subsidiary, even wholly owned subsidiary, will not be found to be alter ego of its parent unless subsidiary is under complete control of parent and is nothing more than conduit used by parent to avoid liability.","COMMERCIAL LAW  Abstention. Abstention for foreign bankruptcy cases did not apply to produce distributors' action to enforce rights under Perishable Agricultural Commodities Act.",
