Type,Key Number,Title,KeyCite Treatment,KeyCite URL,Document URL,Court,Date,Citation,Headnote,Document Preview
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >,Boobuli's LLC v. State Farm General Insurance Company,,,https://www.westlaw.com/Document/I8b4f6680bb9211ee9614e7cb54c94fa8/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F22078438653,"United States District Court, N.D. California.","January 24, 2024",712 F.Supp.3d 1300,"Under California law, insurer's parent corporation could not be held liable on alter ego theory in insured's suit alleging that insurer failed to properly adjust premiums for its business risk policies despite unavoidable decrease in insured's business operations due to COVID pandemic, absent evidence that insurer was inadequately capitalized and failure to disregard separate identities corporate would result in fraud or injustice.",INSURANCE  Premiums. Challenge under Unfair Competition Law to lack of premium adjustment during COVID-19 pandemic was within jurisdiction of insurance department.
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >,"Michigan GeoSearch, Inc. v. TC Energy Corporation",,,https://www.westlaw.com/Document/I57d9aef0f20b11ee9104dba4eddc7301/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F102079472363,"United States District Court, E.D. Michigan, Southern Division.","March 31, 2023",694 F.Supp.3d 928,"Piercing corporate veil was not warranted under Michigan law to allow owner of natural gas well to seek recovery from parent company of owner of natural gas storage field, in well owner's action against parent company based on allegations that natural gas was migrating from field to well; parent company never owned or operated field, field owner never granted parent company storage rights, state and federal agencies recognized and issued permits to field owner as owner and operator of field, statements on companies' websites about companies' relationship were consistent with parent-subsidiary relationship, and alleged fraudulent and wrongful conduct of field owner related only to field owner's own actions, rather than parent company's use of field owner.",BUSINESS ORGANIZATIONS  Piercing Corporate Veil. Piercing corporate veil was not warranted under Michigan law to allow owner of natural gas well to seek recovery from parent company.
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >,"Sacred Heart Health Services v. MMIC Insurance, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I5a57bff05cbc11ec9653d0f0dfec94ba&rank=3&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I5a57bff05cbc11ec9653d0f0dfec94ba/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F752055177095,"United States District Court, D. South Dakota, Southern Division.","December 13, 2021",575 F.Supp.3d 1137,"Allegations by insured health system and surgery center that involvement of liability insurer's parent company in insurer's purported deceit and bad-faith conduct in process of settling underlying tort actions against insureds rendered it inequitable or unjust to adhere to fiction of corporate separateness were sufficient to state claim for breaching of corporate veil under South Dakota law, where insureds alleged that parent company's chief legal officer made unconditional offer for insurer to contribute $2 million to global settlement of underlying actions, that insurer, through such officer, suppressed the fact that insurer had no intention to perform on such promise, and that insurer failed to disclose that contribution would be contingent on waiver of bad-faith claims against insurer. S.D. Codified Laws § 20-10-2(4).",INSURANCE  Liability. Liability insurer's alleged defense under reservation of rights agreement could permit insureds to bind insurer to reasonable settlement.
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >,"ETC Texas Pipeline, Ltd. v. Addison Exploration & Development, LLC",Red-striped KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I4db0daf0c51211e991c3ae990eb01410&rank=4&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I4db0daf0c51211e991c3ae990eb01410/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F312048962982,"Court of Appeals of Texas, Eastland.","August 22, 2019",582 S.W.3d 823,"Evidence that pipeline companies were subsidiaries of energy company, that they had common officers, and that energy company controlled pipeline companies did not establish energy company was vicariously liable for pipeline companies absent any evidence of abuse, injustice, or inequity that would support holding energy company liable for conduct of its subsidiaries.",BUSINESS ORGANIZATIONS  Parent and Subsidiary. Energy company and subsidiary pipeline companies did not owe duty to development company.
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >,"In re ES2 Sports & Leisure, LLC",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I4efc0d60aa3811e5963e943a6ea61b35&rank=5&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I4efc0d60aa3811e5963e943a6ea61b35/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F92037890746,"United States Bankruptcy Court, M.D. North Carolina, Greensboro Division.","December 23, 2015",544 B.R. 833,"Under North Carolina law, individual who was officer, director and majority owner of Chapter 7 debtor's parent company had control and complete domination of company in both its finances and business practices, warranting piercing the corporate veil under instrumentality rule, where company was inadequately capitalized and had a number of months in which it was either completely insolvent or had extremely thin capitalization, there was a non-compliance with corporate formalities, including failure to file an annual report with the North Carolina Secretary of State's office for certain year and failure to maintain a current/active registered agent, and checks had been issued to individual to pay personal utility bill, student loan, and personal cable bill.",BANKRUPTCY  Claims. Debtor's parent company and its majority owner were liable for unjust enrichment for retaining security deposit rightfully payable to debtor.
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >,"Alkanani v. Aegis Defense Services, LLC",,,https://www.westlaw.com/Document/I0922d8a51fe411e380938e6f51729d80/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F192031573258,"United States District Court, District of Columbia.","September 16, 2013",976 F.Supp.2d 1,"Special security agreement (SSA) between American subsidiary of English security contractor and subagency of Department of Defense (DOD), which provided that subsidiary was ""required to manage its own affairs to mitigate the risk of foreign ownership, control and influence,"" precluded contractor from exercising requisite control over subsidiary to establish agency relationship.","BUSINESS ORGANIZATIONS - Piercing Corporate Veil. Subsidiary of military contractor could not be held liable for injuries caused, prior to its corporate existence."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >,"JMB Mfg., Inc. v. Child Craft, LLC",,,https://www.westlaw.com/Document/I1c0223f2a58211e2981ea20c4f198a69/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172030348978,"United States District Court, S.D. Indiana, New Albany Division.","April 10, 2013",939 F.Supp.2d 909,"Under Indiana law, there was no connection between the alleged misuse of the corporate form by the parent corporation of a children's furniture manufacturer and the harm allegedly suffered by a wood sub-assembly provider, as required for the court to use the alter ego doctrine to pierce the corporate veil of the parent corporation in order to allow its principals to be liable.",COMMERCIAL LAW - Contracts. A fact issue existed as to whether a manufacturer waived its contractual remedies under the perfect tender rule.
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >,Chevron Corp. v. Salazar,,,https://www.westlaw.com/Document/Ia28018c6d4e811e08b448cf533780ea2/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F82025997071,"United States District Court, S.D. New York.","August 31, 2011",807 F.Supp.2d 189,"In action seeking declaration that multi-billion dollar Ecuadorian judgment against United States oil corporation was not entitled to recognition or enforcement outside Ecuador, oil corporation was not bound by legal consequences of statements made in prior environmental litigation by company that later merged with subsidiary of corporation, even if corporation owned all of company's common stock following merger, since company remained legal entity separate and distinct from corporation at all relevant times, and disregarding company's separate corporate existence was not warranted.",ENVIRONMENTAL LAW - Judicial Estoppel. Judicial estoppel did not apply to prevent oil corporation from making due process arguments in seeking nonrecognition of foreign judgment.
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >,"ABN AMRO Bank, N.V. v. MBIA Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I787d1521a16f11e0a5bbc8ef87b8b429&rank=9&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I787d1521a16f11e0a5bbc8ef87b8b429/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172025559533,Court of Appeals of New York.,"June 28, 2011",17 N.Y.3d 208,Insureds' allegations that financial guarantee insurer abused its control of its wholly-owned subsidiary by causing it to engage in harmful transactions that shielded billions of dollars in assets from policyholders and exposed them to significant liability were sufficient to state claim for abuse of the corporate form that could support a declaration piercing insurer's corporate veil.,INSURANCE - Industry Regulation. Administrative approval of insurer's restructuring did not bar challenge to restructuring as fraudulent transaction.
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1058 In general >,"17315 Collins Ave., LLC v. Fortune Development Sales Corp.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I91d1921e582111dfab57d8fd5597ca43&rank=10&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I91d1921e582111dfab57d8fd5597ca43/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F22021913788,"District Court of Appeal of Florida, Third District.","May 5, 2010",34 So.3d 166,"Parent company and subsidiary operated as alter egos as was required to pierce the corporate veil; the actual owner, developer, and operating entity for condominium development was subsidiary and parent owned the membership interests of subsidiary and was the managing member, but did not conduct any operations, have any employees or payroll, or have any bank accounts.",BUSINESS ORGANIZATIONS - Piercing Corporate Veil. Parent company used subsidiary for an improper purpose as required to pierce corporate veil.
