"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","Avery v. Schneider as Next Friend of Schneider","","","https://www.westlaw.com/Document/Ie490fb10125c11eba9128435efc93e75/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F142052175074","Court of Appeals of Georgia.","March 13, 2020","356 Ga.App. 304","Allegations supported trial court's piercing of corporate veil to find officer for corporate entity hired to oversee safety, maintenance, and supervision of pool liable in action by parents and next friend of minor child, who nearly died from drowning and sustained brain injury, for negligence and fraud, despite claim that entity owed no duty or damages; officer and entity held entity out as qualified pool management company with properly trained and qualified lifeguards to protect members of community, lifeguard failed to employ proper post-drowning lifesaving techniques after she became aware of incident because she was improperly trained and supervised by entity, and since incident, and child had regular seizures requiring constant medication, migraine headaches, processing difficulties, poor memory, social difficulties, and other neurological and academic issues. (Per Hodges, J., with one judge concurring in the result.)","TORTS  Negligence. Allegations supported finding that officer for corporate entity that supervised pool breached duty to child who nearly drowned by inadequately training lifeguard.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","ETC Texas Pipeline, Ltd. v. Addison Exploration & Development, LLC","Red-striped KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I4db0daf0c51211e991c3ae990eb01410&rank=2&listSource=Search&list=CUSTOMDIGEST&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I4db0daf0c51211e991c3ae990eb01410/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F392048962982","Court of Appeals of Texas, Eastland.","August 22, 2019","582 S.W.3d 823","Mere fact that subsidiary pipeline companies and parent energy company shared officers did not establish agency liability on part of parent company for subsidiaries' actions with respect to alleged fraud and breach of contract with oil and gas lease development company absent evidence subsidiaries were acting on behalf of parent, as opposed to on their own behalf.","BUSINESS ORGANIZATIONS  Parent and Subsidiary. Energy company and subsidiary pipeline companies did not owe duty to development company.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","Landress v. Tier One Solar LLC","","","https://www.westlaw.com/Document/I85c5de000f1011e7a584a0a13bd3e099/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F232041282364","United States District Court, M.D. North Carolina.","March 21, 2017","243 F.Supp.3d 633","Under North Carolina law, investor sufficiently pled plausible claim for piercing corporate veil to hold parent company and its principals liable for subsidiary's purported fraud by alleging that subsidiary was undercapitalized, that parent and subsidiary disregarded corporate formalities by holding themselves out as joint entity when they obtained additional investment funds from another investor and commingling funds, that subsidiary and parent blurred lines of their corporate forms by agreeing that parent would provide additional inducements to investor in exchange for his investment in subsidiary, and that money was funneled from subsidiary to parent and served as conduit for principals to unjustly enrich themselves and render subsidiary insolvent.","TORTS  Parties. Company's former CFO was indispensable party in investor's action against company, its parent, and other executives.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","United States v. Executive Health Resources, Inc.","","","https://www.westlaw.com/Document/Id03e30d0574711e68e80d394640dd07e/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F282039466638","United States District Court, E.D. Pennsylvania.","July 26, 2016","196 F.Supp.3d 477","Integration of physician advisor company into parent company's corporate structure was not sufficient basis to pierce corporate veil to hold parent company and subsidiaries liable for advisor company's allegedly fraudulent scheme in violation of False Claims Act; although parent placed trusted employees in management positions at advisor company, promoted company's products on corporate website, and promised to investigate allegations of abuse at company, advisor company was not facade for parent or any of its subsidiaries because company's alleged fraudulent scheme began years before its acquisition, and advisor was not insolvent and otherwise was able to satisfy judgment. 31 U.S.C.A. § <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=31USCAS3729&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=65e71aecf4ac461197e3b4de9a880869"">3729</a>.","GOVERNMENT  False Claims. Relator alleged nationwide scope of scheme with sufficient particularity in FCA action against physician advisor company.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","Janvey v. Libyan Investment Authority","Red KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I7904bae0ea2911e5be74e186f6bc2536&rank=5&listSource=Search&list=CUSTOMDIGEST&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I7904bae0ea2911e5be74e186f6bc2536/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F122038464042","United States District Court, N.D. Texas, Dallas Division.","May 12, 2015","164 F.Supp.3d 910","Under Texas law, Libyan Foreign Investment Company (LFICO) was not Libyan Investment Authority's (LIA) alter ego, and thus LIA was not liable to receiver for assets related to Ponzi scheme for proceeds of LFICO's investments in scheme, even though LIA held LFICO's shares, where LFICO and LIA had separate boards of directors, there were no interlocks in boards of directors of LIA and LFICO, LIA was not responsible for controlling or managing specific activities or transactions at subsidiary level, and LIA did not play any role in connection with LFICO's investment in Ponzi scheme.","INTERNATIONAL LAW  Foreign Sovereigns. District court had subject matter jurisdiction over receiver's action against Libyan Foreign Investment Company to recover Ponzi scheme...",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","Matthys v. Narconon Fresh Start","","","https://www.westlaw.com/Document/Ie6567a30f33911e4b82efd02f94a0187/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172036225766","United States District Court, D. Colorado.","May 4, 2015","104 F.Supp.3d 1191","Allegations of patient at substance abuse treatment facility operated by corporation stated a claim under Colorado law for piercing the corporate veil of two other corporations under alter ego theory, in action for breach of contract and fraud, alleging that treatment facility was not non-religious as promised, and that it did not offer treatment by qualified professionals and instead attempted to recruit patient into a church; patient alleged that corporate operator was subsidiary of second corporation which, in turn, was subsidiary of third corporation, and that third corporation oversaw church's drug rehabilitation activities and governed and controlled nearly every aspect of corporate operator's and second corporation's business activities.","TORTS  Emotional Distress. Alleged conduct of operator of substance abuse treatment facility was outrageous.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","William L. Thorp Revocable Trust v. Ameritas Inv. Corp.","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ib24fd8534a9f11e4a795ac035416da91&rank=7&listSource=Search&list=CUSTOMDIGEST&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/Ib24fd8534a9f11e4a795ac035416da91/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52034485355","United States District Court, E.D. North Carolina, Eastern Division.","September 30, 2014","57 F.Supp.3d 508","There was no evidence that either a grandparent or a parent corporation exercised actual control over subsidiary brokerage firms with regard to transactions allegedly constituting securities fraud or that the subsidiary brokerage firms were mere instrumentalities of the grandparent or parent corporations, precluding securities fraud claims against the grandparent or parent corporations.","SECURITIES REGULATION - Fraud. Investor failed to establish independent sales agent acted with scienter required for state and federal securities fraud claims.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","Pro Tanks Leasing v. Midwest Propane and Refined Fuels, LLC","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I21b6fc606b9b11e38913df21cb42a557&rank=8&listSource=Search&list=CUSTOMDIGEST&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I21b6fc606b9b11e38913df21cb42a557/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F112032361405","United States District Court, W.D. Kentucky.","December 18, 2013","988 F.Supp.2d 772","Under Kentucky law, there was a lack of corporate separateness between subsidiary propane company, its parent, which was not-for-profit limited liability company (LLC), and its grandparent, which was electric cooperative, as required to pierce corporate veil in breach of contract and fraud action of buyer of propane company, although propane company paid its own salaries and other expenses, propane company purchased its own assets and did business with third parties separate from cooperative, propane company was never referred to as a division of cooperative or LLC, cooperative did not use propane company's assets in its business, and formal legal requirements of propane company were observed, where cooperative was sole owner of LLC, which in turn was sole owner of propane company, entities had at least one common officer, cooperative guaranteed loans and donated capital to propane company, proceeds from sale of propane company to buyer went directly into cooperative's financial account, cooperative permitted propane company to use its real estate, and cooperative's board of directors served as LLC's ownership group, which governed propane company.","BUSINESS ORGANIZATIONS - Piercing Corporate Veil. There was a lack of corporate separateness between propane company, its parent, and its grandparent, as required to pierce corporate veil.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","Pro Tanks Leasing v. Midwest Propane and Refined Fuels, LLC","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I21b6fc606b9b11e38913df21cb42a557&rank=9&listSource=Search&list=CUSTOMDIGEST&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","https://www.westlaw.com/Document/I21b6fc606b9b11e38913df21cb42a557/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F172032361405","United States District Court, W.D. Kentucky.","December 18, 2013","988 F.Supp.2d 772","Under Kentucky law, continued recognition of subsidiary propane company would sanction fraud or promote injustice, as required to pierce corporate veil in breach of contract and fraud action of buyer of propane company against parent and grandparent companies, where proceeds from buyer's purchase of propane company were transferred to grandparent company for nothing in return, such that if buyer was successful in its claims, it could not recover anything from propane company.","BUSINESS ORGANIZATIONS - Piercing Corporate Veil. There was a lack of corporate separateness between propane company, its parent, and its grandparent, as required to pierce corporate veil.",
"Custom Digest","101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1074 Fraud >","FutureSelect Portfolio Management, Inc. v. Tremont Group Holdings, Inc.","","","https://www.westlaw.com/Document/I702b2981049211e3a98ec867961a22de/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=65e71aecf4ac461197e3b4de9a880869&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F252031275088","Court of Appeals of Washington, Division 1.","August 12, 2013","175 Wash.App. 840","Investor's complaint adequately stated a claim against investment firm's parent and grandparent based upon agency, where investor alleged that firm came under their control, which included the manner by which firm offered investments, including the funds that were alleged to be feeder funds for Ponzi scheme, alleged that parent and grandparent learned of firm's enormous exposure with perpetrator of Ponzi scheme and firm's representations to the feeder funds' investors regarding its oversight and monitoring of perpetrator of scheme were false or, at a minimum, highly suspect, and investor's complaint and hypothetical facts supported the claim that parent and grandparent controlled investment firm and retained the right to direct the manner in which firm's work was performed.","SECURITIES REGULATION - Pleading. Investor's complaint adequately stated a claim against investment firm's parent and grandparent based upon agency.",
